OBJECTID1,HUC_10,HU_10_NAME,DWQ_Basin,Area_sqmi,TOTAL_POP,POP_2010,POP_2000,POP_CHG_10_20,POP_CHG_00_10,ACRES,Latitude,Longtidude
361,303000502,Turnbull Creek-Cape Fear River,Cape Fear,193,9048,10509,9599,-1461,910,123424.3249,34.7256634,-78.4904278
362,303000405,Buies Creek-Cape Fear River,Cape Fear,167,54120,45463,36115,8657,9348,106726.9292,35.4280151,-78.7391167
363,303000401,Buckhorn Creek-Cape Fear River,Cape Fear,231,38168,26115,18148,12053,7967,147657.592,34.7256634,-78.4904278
364,303000402,Upper Little River,Cape Fear,220,42785,37465,30431,5320,7034,141050.0006,34.8002309,-78.4824501
365,303000508,Cape Fear River,Cape Fear,79,19627,13860,9452,5767,4408,50593.11004,34.7256634,-78.4904278
366,303000302,Upper Deep River,Cape Fear,294,34843,34924,32765,-81,2159,188420.7343,41.3648171,-72.4849861
367,303000306,Lower Deep River,Cape Fear,226,37062,35488,30191,1574,5297,144671.3361,41.3648171,-72.4849861
368,303000304,Middle Deep River,Cape Fear,302,17585,19001,18472,-1416,529,193322.5942,41.3648171,-72.4849861
369,303000503,Livingston Creek,Cape Fear,101,3554,3968,3544,-414,424,64612.96818,34.3158801,-78.2621753
370,303000403,Headwaters Little River,Cape Fear,262,49525,39558,33583,9967,5975,167364.4257,34.3158801,-78.2621753
371,303000501,Harrison Creek-Cape Fear River,Cape Fear,163,15586,13995,11494,1591,2501,104552.7927,34.7256634,-78.4904278
372,303000303,Mclendons Creek,Cape Fear,101,6132,6309,5919,-177,390,64751.90251,35.416722,-79.4253769
373,303000301,Headwaters Deep River,Cape Fear,283,193894,180870,158400,13024,22470,181107.4273,36.0048676,-79.976619
374,303000305,Rocky River,Cape Fear,243,22660,22996,20627,-336,2369,155805.6106,41.4768217,-81.8497567
375,303000505,Brunswick River-Cape Fear River,Cape Fear,95,64968,51537,37362,13431,14175,60881.43929,34.2178671,-77.9767183
376,303000601,Upper South River,Cape Fear,234,39924,41286,37477,-1362,3809,149771.0891,45.466667,-61.933333
377,303000507,Liliput Creek-Cape Fear River,Cape Fear,89,34437,29672,17809,4765,11863,57112.9113,34.7256634,-78.4904278
378,303000506,Town Creek,Cape Fear,126,7116,6429,4878,687,1551,80407.47935,34.6812011,-87.4061342
379,303000504,Hood Creek-Cape Fear River,Cape Fear,215,10346,8761,7582,1585,1179,137762.3002,34.284403,-78.1395305
380,303000404,Outlet Little River,Cape Fear,220,67274,55075,50439,12199,4636,140533.9962,33.8732279,-78.6141798
381,303000406,Rockfish Creek,Cape Fear,309,217796,204010,173271,13786,30739,198044.2964,34.9602329,-78.8612554
382,303000407,Cross Creek-Cape Fear River,Cape Fear,222,106862,103103,103577,3759,-474,141802.6823,34.7256634,-78.4904278
383,303000708,Harrisons Creek-Northeast Cape Fear River,Cape Fear,287,93226,86208,69918,7018,16290,183910.885,34.7279398,-77.8765814
384,303000703,Limestone Creek-Northeast Cape Fear River,Cape Fear,257,15605,17655,15074,-2050,2581,164633.463,35.7595731,-79.0192997
385,303000607,Moores Creek,Cape Fear,92,3112,3457,3045,-345,412,58906.185,34.4581512,-78.1104428
386,304010107,Fisher River,Yadkin Pee Dee,161,15682,16559,14886,-877,1673,103057.9301,36.403628,-80.7684709
387,304010106,Elkin Creek-Yadkin River,Yadkin Pee Dee,136,18439,18962,18478,-523,484,86994.41132,36.3263208,-80.9152279
388,303000706,Angola Swamp-Northeast Cape Fear River,Cape Fear,377,5565,5762,5245,-197,517,241486.0085,34.7058938,-77.8710285
389,304010104,Roaring River-Yadkin River,Yadkin Pee Dee,184,11579,12481,12431,-902,50,117715.4155,36.060108,-81.5650931
390,303000608,Black River,Cape Fear,212,3444,4121,3998,-677,123,135860.0239,34.331868,-78.0325363
391,304010108,Upper Ararat River,Yadkin Pee Dee,76,25572,26149,26937,-577,-788,48339.03023,36.4682019,-80.5437971
392,303000606,Colly Creek,Cape Fear,122,1134,1224,1060,-90,164,77825.98716,-31.6212954,150.7812253
393,303000704,Cypress Creek-Northeast Cape Fear River,Cape Fear,154,11188,11492,8848,-304,2644,98365.61683,34.7256634,-78.4904278
394,303000604,Great Coharie Creek,Cape Fear,221,21677,23087,21772,-1410,1315,141497.3508,34.7896148,-78.3124988
395,303000701,Goshen Swamp,Cape Fear,185,8024,10555,8253,-2531,2302,118640.7007,35.0423509,-77.8953067
396,304010105,Mitchell River,Yadkin Pee Dee,108,6100,6171,5932,-71,239,69231.23548,36.35992,-80.8377466
397,303000602,Lower South River,Cape Fear,260,9766,10293,9595,-527,698,166402.1452,45.601171,-61.91325
398,304010102,W Kerr Scott Reservoir-Yadkin River,Yadkin Pee Dee,189,8620,9257,8293,-637,964,120849.9984,36.060108,-81.5650931
399,303000603,Little Coharie Creek,Cape Fear,159,9853,10324,9805,-471,519,101582.6096,35.0213469,-78.4865444
400,304010103,Reddies River-Yadkin River,Yadkin Pee Dee,211,34985,36338,34139,-1353,2199,134935.4745,36.1600571,-81.1554539
401,304010101,Headwaters Yadkin River,Yadkin Pee Dee,176,6571,6817,6852,-246,-35,112701.4468,36.060108,-81.5650931
402,303000605,Six Runs Creek,Cape Fear,274,16135,17896,17606,-1761,290,175512.4471,35.0194103,-78.2362169
403,303000707,Long Creek,Cape Fear,141,6299,6460,5854,-161,606,89921.51255,34.4421115,-78.0097139
404,303000702,Headwaters Northeast Cape Fear River,Cape Fear,162,12470,15349,11957,-2879,3392,103585.8491,34.7279398,-77.8765814
405,303000705,Rockfish Creek,Cape Fear,178,10958,12679,11377,-1721,1302,114006.6021,34.9602329,-78.8612554
406,304010111,Deep Creek,Yadkin Pee Dee,125,15655,16219,15322,-564,897,79764.14127,39.5116824,-79.3155716
407,304010403,Eury Dam-Little River,Yadkin Pee Dee,228,18517,19613,18714,-1096,899,146130.95,35.2538111,-79.9089306
408,304010202,Hunting Creek,Yadkin Pee Dee,206,11133,11583,10996,-450,587,131541.7873,38.2382507,-76.4604263
409,304010114,Dutchmans Creek,Yadkin Pee Dee,130,17946,17525,14921,421,2604,82915.32964,35.3628136,-80.0199533
410,304010113,Muddy Creek,Yadkin Pee Dee,256,328085,300012,258594,28073,41418,163576.5664,42.7077564,-70.9576038
411,304010115,Reedy Creek-Yadkin River,Yadkin Pee Dee,144,43277,40141,33749,3136,6392,92039.5854,36.060108,-81.5650931
412,304010112,Forbush Creek-Yadkin River,Yadkin Pee Dee,107,16851,15821,14792,1030,1029,68405.42588,36.060108,-81.5650931
413,304010404,Little River,Yadkin Pee Dee,123,2225,2345,2572,-120,-227,78405.4961,44.2859355,-86.2472658
414,304010206,South Yadkin River,Yadkin Pee Dee,81,10670,10348,9849,322,499,51563.81478,35.928692,-80.8093135
415,304010301,High Rock Lake-Yadkin River,Yadkin Pee Dee,182,85705,81332,76143,4373,5189,116397.5967,36.060108,-81.5650931
416,304010203,Third Creek,Yadkin Pee Dee,101,26308,24547,23292,1761,1255,64417.8652,35.7495863,-80.8561376
417,304010304,Upper Uwharrie River,Yadkin Pee Dee,223,49615,48141,45964,1474,2177,142524.5038,35.8756432,-79.9933935
418,304010402,Lake Tillery-Pee Dee River,Yadkin Pee Dee,171,16824,16134,15451,690,683,109489.8392,35.1762526,-79.9863353
419,304010302,Abbotts Creek,Yadkin Pee Dee,223,113276,107565,96646,5711,10919,142855.3776,36.04344,-80.0814275
420,304010303,High Rock Lake,Yadkin Pee Dee,207,51848,50130,46783,1718,3347,132239.8176,35.6516286,-80.3018107
421,304010306,Yadkin River,Yadkin Pee Dee,190,12035,12368,12018,-333,350,121748.254,36.060108,-81.5650931
422,304010110,Little Yadkin River-Yadkin River,Yadkin Pee Dee,213,29721,31065,28436,-1344,2629,136214.302,36.060108,-81.5650931
423,304010201,Headwaters South Yadkin River,Yadkin Pee Dee,289,26664,26717,23823,-53,2894,184928.511,35.928692,-80.8093135
424,304010401,Brown Creek,Yadkin Pee Dee,174,7957,9754,8267,-1797,1487,111351.9571,35.0020354,-80.1937753
425,304010305,Lower Uwharrie River,Yadkin Pee Dee,165,4772,4807,4542,-35,265,105733.6683,35.8756432,-79.9933935
426,304010205,Second Creek,Yadkin Pee Dee,142,26127,20640,17384,5487,3256,90575.63774,39.8772897,-104.8012028
427,304010204,Fourth Creek,Yadkin Pee Dee,89,34162,31694,28922,2468,2772,57147.28504,56.0667101,-118.9363837
428,304010109,Lower Ararat River,Yadkin Pee Dee,123,15677,16293,14888,-616,1405,78473.28059,36.4682019,-80.5437971
429,304010501,Upper Rocky River,Yadkin Pee Dee,215,268707,201233,119890,67474,81343,137897.4858,-29.3239966,152.1245993
430,304010507,Lower Rocky River,Yadkin Pee Dee,263,72738,64834,45070,7904,19764,168546.1589,35.2720286,-80.6003525
431,305010107,Lower Creek,Catawba,98,29178,30374,29916,-1196,458,62912.29704,35.9239024,-81.5097015
432,305010109,Lake Hickory-Catawba River,Catawba,142,46581,44206,40468,2375,3738,90669.02529,34.4668123,-80.8889704
433,305010102,North Fork Catawba River,Catawba,85,2687,2589,2695,98,-106,54352.09848,35.8816277,-81.9807362
434,305010106,Silver Creek-Catawba River,Catawba,233,59941,60713,58842,-772,1871,149282.6682,34.4668123,-80.8889704
435,305010201,Henry Fork,Catawba,115,27939,28163,26975,-224,1188,73302.20865,43.9185902,-111.7257202
436,304010502,Cold Water Creek,Yadkin Pee Dee,110,118548,104917,92878,13631,12039,70624.31204,35.4062286,-80.5549493
437,305010204,Upper South Fork Catawba River,Catawba,87,11366,11204,9371,162,1833,55985.76133,35.1495863,-81.0328533
438,305010104,Warrior Fork-Catawba River,Catawba,87,4997,4953,4726,44,227,55898.67982,34.4668123,-80.8889704
439,304010503,Middle Rocky River,Yadkin Pee Dee,254,120014,91317,60971,28697,30346,162788.8392,41.4768217,-81.8497567
440,305010101,Headwaters Catawba River,Catawba,181,17264,17802,16539,-538,1263,115945.8588,34.4668123,-80.8889704
441,305010103,Linville River-Lake James,Catawba,121,8089,7664,7106,425,558,77185.5262,35.7459605,-81.8364909
442,305010105,Johns River,Catawba,210,3403,3470,3756,-67,-286,134123.732,29.0756178,-81.2281919
443,305010205,Middle South Fork Catawba River,Catawba,123,30619,30925,29881,-306,1044,78594.78886,35.1495863,-81.0328533
444,304010505,Richardson Creek,Yadkin Pee Dee,234,65112,63442,53106,1670,10336,149852.7604,35.0633547,-80.3712978
445,304010504,Long Creek,Yadkin Pee Dee,201,33641,33343,32117,298,1226,128922.7664,34.4421115,-78.0097139
446,305010203,Clark Creek,Catawba,91,40223,39470,36748,753,2722,58312.80663,34.088215,-84.6418128
447,304010405,Pee Dee River-Blewett Falls Lake,Yadkin Pee Dee,166,2828,3133,3081,-305,52,106355.4425,35.0204217,-79.8940806
448,305010108,Rhodhiss Lake-Catawba River,Catawba,154,79251,80776,76356,-1525,4420,98803.70741,35.7740206,-81.431201
449,305010206,Lower South Fork Catawba River,Catawba,149,91815,82969,76052,8846,6917,95158.05751,35.1495863,-81.0328533
450,304010506,Lanes Creek,Yadkin Pee Dee,137,9139,9575,8737,-436,838,87919.32022,33.4996123,-79.3631099
451,305010202,Jacob Fork,Catawba,96,11752,12215,10460,-463,1755,61618.93398,35.6153444,-81.4935684
452,305010114,Mountain Island Lake-Catawba River,Catawba,163,197305,154481,88437,42824,66044,104173.8095,35.3511776,-80.9553294
453,305010115,Lake Wylie-Catawba River,Catawba,121,94493,81967,76758,12526,5209,77418.79503,34.4668123,-80.8889704
454,305010113,Dutchmans Creek,Catawba,141,49059,42248,34060,6811,8188,90413.61054,35.3628136,-80.0199533
455,305010110,Lookout Shoals Lake-Catawba River,Catawba,139,20460,20603,17866,-143,2737,89113.13818,35.7687839,-81.0961603
456,301010401,Hogans Creek-Dan River,Roanoke,201,16776,17588,17638,-812,-50,128336.1424,36.5274056,-79.353593
457,301020302,Sarem Creek-Chowan River,Chowan,152,5443,5669,5340,-226,329,97026.61221,36.2704217,-76.8027886
458,301010406,Hyco River,Roanoke,140,16532,16935,16498,-403,437,89543.37145,36.6837502,-78.7319498
459,301010403,Birch Creek-Dan River,Roanoke,10,451,536,531,-85,5,6355.268217,36.5049877,-79.5554428
460,601010601,Headwaters Pigeon River,French Broad,168,23109,22707,21103,402,1604,107545.7935,35.8598363,-83.1112086
461,301010402,Country Line Creek,Roanoke,138,5645,6264,6161,-619,103,88425.52137,36.3377611,-79.4675422
462,301020307,Chowan River,Chowan,117,3474,3885,3466,-411,419,74741.60101,36.2704217,-76.8027886
463,305010112,Lower Lake Norman,Catawba,137,85428,70412,47729,15016,22683,87475.3746,38.9104546,-122.6102614
464,301020304,Wiccacon River,Chowan,106,2608,3064,3212,-456,-148,68121.41892,36.3261187,-76.8302672
465,301020301,Somerton Creek,Chowan,30,1187,1388,1142,-201,246,18931.62205,36.5438245,-76.8778546
466,601010602,Richland Creek-Pigeon River,French Broad,182,34247,31472,29029,2775,2443,116323.2224,35.8598363,-83.1112086
467,305010111,Upper Lake Norman,Catawba,207,69052,63086,51556,5966,11530,132615.3576,39.1646129,-122.9105515
468,301020305,Bennetts Creek,Chowan,107,3720,4305,3713,-585,592,68245.00598,36.8377172,-76.4852254
469,301010405,Hyco Lake,Roanoke,197,7769,7821,7615,-52,206,126028.4696,36.4774842,-79.105455
470,301010407,Aarons Creek-Dan River,Roanoke,30,810,863,825,-53,38,19474.20084,36.6612505,-78.7219494
471,301020303,Ahoskie Creek,Chowan,170,12063,13777,12952,-1714,825,108583.3215,36.2856661,-77.0024664
472,601010603,Cataloochee Creek-Pigeon River,French Broad,186,1472,1574,1216,-102,358,119121.138,35.6616837,-83.0791625
473,301020306,Holiday Island-Chowan River,Chowan,120,4163,4593,4437,-430,156,76520.48136,36.2704217,-76.8027886
474,601020301,Upper Tuckasegee River,Little Tennessee,238,16584,15329,11700,1255,3629,152467.5846,35.4348151,-83.58461
475,601020202,Cullasaja River,Little Tennessee,93,6357,5605,5328,752,277,59263.39603,35.1222439,-83.298714
476,301020408,Potecasi Creek,Chowan,257,8602,12151,10706,-3549,1445,164770.1825,36.4362647,-76.9566271
477,601010801,Headwaters North Toe River,French Broad,183,18394,19182,18598,-788,584,117056.4428,35.9742848,-82.1521053
478,601020203,Nantahala River,Little Tennessee,175,1920,2070,1870,-150,200,112204.8253,35.0648016,-83.5443104
479,601020201,Headwaters Little Tennessee River,Little Tennessee,151,14505,13378,11044,1127,2334,96536.43177,35.6252879,-84.1802932
480,601020302,Oconaluftee River,Little Tennessee,188,9118,8833,8056,285,777,120236.177,35.5147347,-83.3388447
481,301010604,Lower Lake Gaston,Roanoke,121,7745,8164,7992,-419,172,77666.7512,38.9104546,-122.6102614
482,601010803,Cane River,French Broad,158,7578,7153,7294,425,-141,101012.4618,31.5155502,-92.7230514
483,601020204,Alarka Creek-Little Tennessee River,Little Tennessee,204,16695,15447,13744,1248,1703,130311.98,35.6252879,-84.1802932
484,301010602,Upper Lake Gaston,Roanoke,55,2978,3452,3849,-474,-397,35442.58848,39.1646129,-122.9105515
485,301020409,Tarrara Creek-Meherrin River,Chowan,192,8626,9747,9566,-1121,181,122626.9076,35.7595731,-79.0192997
486,601010806,North Indian Creek-Nolichucky River,French Broad,27,257,253,312,4,-59,17445.54195,36.1295749,-82.7761868
487,301010603,Middle Lake Gaston,Roanoke,78,2317,2233,1981,84,252,49666.44417,36.5076208,-77.9453091
488,601020303,Middle Tuckasegee River,Little Tennessee,163,20340,19371,16739,969,2632,104488.606,35.4348151,-83.58461
489,601020304,Lower Tuckasegee River,Little Tennessee,144,5548,5631,5244,-83,387,92410.72943,35.4348151,-83.58461
490,601020205,Fontana Lake,Little Tennessee,167,1358,1425,1179,-67,246,106973.3971,35.4441394,-83.727883
491,601010302,Elk River,Watauga,52,5172,5133,4820,39,313,33343.47142,45.303218,-93.5547381
492,601010802,South Toe River-North Toe River,French Broad,259,15257,15353,15307,-96,46,165938.4866,35.8269315,-82.2148465
493,301020407,Fountains Creek,Chowan,48,2155,2554,2477,-399,77,30400.12987,40.5163233,-87.8093586
494,601010512,Spring Creek-French Broad River,French Broad,106,1959,2113,2328,-154,-215,67887.97692,35.5627536,-82.8631741
495,304020104,Thompson Creek,Yadkin Pee Dee,53,666,771,702,-105,69,33681.18876,38.948337,-76.837841
496,601010507,Cane Creek-French Broad River,French Broad,154,75931,63723,49266,12208,14457,98446.74067,35.5627536,-82.8631741
497,601010506,Swannanoa River,French Broad,133,61770,57504,51473,4266,6031,84979.23296,35.5896798,-82.4412766
498,601010303,Watauga Lake-Watauga River,Watauga,152,16605,16092,13540,513,2552,97154.10042,36.3553019,-82.222941
499,601010509,Sandymush Creek-French Broad River,French Broad,236,98314,87959,77966,10355,9993,150922.0669,35.6902283,-82.7712806
500,304020103,Marks Creek-Pee Dee River,Yadkin Pee Dee,168,11143,12828,13178,-1685,-350,107596.1188,34.8844123,-79.6726632
501,601010508,Ivy Creek,French Broad,161,16331,15482,14060,849,1422,103091.1798,34.0970578,-83.9365556
502,601010501,Headwaters French Broad River,French Broad,130,7344,7606,6926,-262,680,83119.54114,35.5627536,-82.8631741
503,304020201,Headwaters Lynches River,Yadkin Pee Dee,26,1892,1791,1712,101,79,16781.68499,34.3313506,-79.9898651
504,304020102,Jones Creek,Yadkin Pee Dee,100,8243,9906,9959,-1663,-53,63744.37111,28.9685817,-95.4552208
505,601010511,Walnut Creek-French Broad River,French Broad,95,4706,4852,4621,-146,231,60945.35626,37.9100783,-122.0651819
506,601010504,Mills River-French Broad River,French Broad,133,24084,22645,19764,1439,2881,84913.49216,35.4064582,-82.6267345
507,304020312,Headwaters Ashpole Swamp,Lumber,202,12768,15767,16083,-2999,-316,129435.5348,34.5259966,-79.2328172
508,304020101,Hitchcock Creek,Yadkin Pee Dee,143,27926,29728,28984,-1802,744,91223.69838,34.9619382,-79.7547071
509,601010505,Hominy Creek,French Broad,104,45532,39834,33185,5698,6649,66510.29323,35.5582244,-82.5960766
510,601010304,Doe River,Watauga,1,99,157,62,-58,95,573.6260263,36.2449897,-82.1386825
511,601010502,Davidson River-French Broad River,French Broad,168,24033,23890,21160,143,2730,107249.3209,35.2534477,-82.6840127
512,304020105,Reedys Branch-Great Pee Dee River,Yadkin Pee Dee,22,976,1079,1110,-103,-31,13788.08349,34.1715296,-79.536862
513,601010503,Mud Creek,French Broad,113,64351,58645,51087,5706,7558,72119.45262,36.0270814,-80.3436639
514,601010510,Big Laurel Creek,French Broad,132,3024,2792,2927,232,-135,84691.89449,35.915235,-82.6427863
515,304020308,Middle Big Swamp,Lumber,85,6769,7661,6509,-892,1152,54718.30673,34.7790474,-78.7360505
516,304020310,Saddletree Swamp-Lumber River,Lumber,115,31760,36797,34484,-5037,2313,73690.29926,34.6807193,-79.0244763
517,304020303,Gum Swamp-Lumber River,Lumber,94,9375,8717,7984,658,733,60192.09503,34.5669774,-79.1432093
518,304020603,Headwaters Waccamaw River,Lumber,203,5610,6583,6800,-973,-217,129815.281,33.6959905,-78.9224708
519,304020305,Raft Swamp,Lumber,169,23992,26589,23267,-2597,3322,107998.3759,34.6483012,-79.098396
520,304020304,Bear Swamp-Lumber River,Lumber,85,18402,20429,16992,-2027,3437,54112.90064,34.5669774,-79.1432093
521,304020402,Leith Creek,Lumber,73,14763,16015,16361,-1252,-346,46420.13853,34.8016904,-79.4591268
522,304020606,Gore Creek-Waccamaw River,Lumber,113,3177,3678,3308,-501,370,72568.50629,33.6959905,-78.9224708
523,304020405,Middle Little Pee Dee River,Lumber,18,1207,1412,1565,-205,-153,11445.16911,34.1648056,-79.3351153
524,304020604,Juniper Creek-Waccamaw River,Lumber,167,600,710,636,-110,74,107181.6167,33.6959905,-78.9224708
525,304020602,White Marsh,Lumber,134,15324,17699,16953,-2375,746,85751.11457,39.3794196,-76.4599043
526,304020302,Lower Drowning Creek,Lumber,194,37269,32591,26713,4678,5878,124156.1477,36.4733765,-94.8671617
527,304020403,Shoe Heel Creek,Lumber,156,8225,9957,9759,-1732,198,99936.18972,34.6504772,-79.3690824
528,304020406,Lake Swamp-Little Pee Dee River,Lumber,8,2154,2439,976,-285,1463,5345.517193,34.1648056,-79.3351153
529,304020601,Red Hill Swamp,Lumber,172,6333,7422,7416,-1089,6,110092.5296,34.4376696,-78.6819602
530,304020401,Upper Little Pee Dee River,Lumber,138,13130,14666,14812,-1536,-146,88453.13147,34.1648056,-79.3351153
