X,Y,Date_Orig,Date_Issue,Date_Expir,FID,Permit_ID,NCS_Number,Firm_Name,Contact_FN,Contact_LN,Phone,Address,City,State,Zip,County,Owns,Domestic_S,Grease,Portable_T,Other_Wast,Capacity,Other_Wa_1,Capacity_D,Latitude,Longitude
-8828997.057,4329278.345,2013/09/27 00:00:00+00,2017/03/09 00:00:00+00,2019/03/01 00:00:00+00,1,SDTF-01-04,NCS-00726,Myers Septic Tank Company,Jerry,Byrd,(336)421-8700,P.O. Box 999,Haw River,NC,27258,Alamance,N,N,N,Y,N,"1,000.00",1,0,36.21,-79.31
-9031608.549,4284464.201,1996/02/22 00:00:00+00,2014/02/27 00:00:00+00,2019/02/27 00:00:00+00,2,SDTF-02-04,NCS-00104,Rowan Septic Tank & Ditching Co Inc,David R,Mecimore,(828) 632-4608,128 Taylorsville Mfg. Rd.,Taylorsville,NC,28681,Alexander,N,Y,Y,N,N,"5,000.00",5,0,35.88,-81.13
-9034645.345,4291822.765,1999/11/24 00:00:00+00,2015/06/04 00:00:00+00,2020/03/01 00:00:00+00,3,SDTF-02-05,NCS-00320,A Sani-Can,Warren,Miller,(828) 632-0788,80 W Main Ave,Taylorsville,NC,28681,Alexander,N,Y,Y,Y,N,"15,000.00",15,0,35.94,-81.16
-9054102.879,4274257.862,2000/09/13 00:00:00+00,2015/07/30 00:00:00+00,2020/03/24 00:00:00+00,4,SDTF-02-06,NCS-00927,A Sani-Can,Mark,Hull,(828) 495-8833,5803 Icard Ridge Road,Hickory,NC,28601,Alexander,N,Y,N,Y,N,325,0,0,35.81,-81.33
-9009049.654,4377466.2,2010/08/31 00:00:00+00,2017/04/04 00:00:00+00,2022/04/04 00:00:00+00,5,SDTF-03-04,NCS-01188,T-N-T Septic Service,Aaron,Robinson,(276) 236-6962,3572 Peppers Ferry Road,Wytheville,VA,24382,Alleghany,N,Y,Y,Y,N,"30,000.00",30,0,36.56,-80.93
-8914816.592,4168706.499,2002/06/10 00:00:00+00,2013/06/25 00:00:00+00,2018/06/25 00:00:00+00,6,SDTF-04-07,NCS-00874,Robinson's Septic Tank Cleaning,Robert,Vogler,(704) 694-3701,656 Little Duncan Road,Wadesboro,NC,28170,Anson,Y,N,Y,N,N,"17,000.00",17,0,35.04,-80.08
-8903577.777,4151046.376,2011/05/26 00:00:00+00,2017/12/20 00:00:00+00,2022/12/20 00:00:00+00,7,SDTF-04-08,NCS-01094,Smith Pumping Service,Ronnie,Oaks,(704) 848-8801,2323 Diggs Road,Wadesboro,NC,28170,Anson,Y,Y,Y,N,Y,"60,000.00",0,0,34.91,-79.98
-8580212.467,4252025.69,2000/09/06 00:00:00+00,2016/04/11 00:00:00+00,2021/04/11 00:00:00+00,8,SDTF-07-06,NCS-00826,Ray's Septic Service,Scott,Williamson,(252) 944-7737,1774 Wharton Station Rd.,Washington,NC,27889,Beaufort,Y,Y,Y,N,N,"44,000.00",44,0,35.65,-77.08
-8556783.054,4221731.98,2008/09/10 00:00:00+00,2015/03/09 00:00:00+00,2016/03/09 00:00:00+00,9,SDTF-07-08,NCS-01078,Garner Construction Company,Kenneth,Brabble,(252) 904-4584,212 Eagle Nest Trail #68,Blounts Creek,NC,27814,Beaufort,Y,N,N,Y,N,"1,000.00",1,0,35.42,-76.87
-8771972.535,4104715.567,1999/10/19 00:00:00+00,2013/05/23 00:00:00+00,2018/05/22 00:00:00+00,10,SDTF-09-07,NCS-00153,Sprinkle Inc.,Furnie V,Singletary,(910) 648-2228,PO Box 782,Bladenboro,NC,28320,Bladen,Y,Y,Y,Y,N,"50,000.00",50,0,34.56,-78.80
-8743937.834,4035873.828,1996/02/22 00:00:00+00,2014/11/04 00:00:00+00,2019/04/21 00:00:00+00,11,SDTF-10-12,NCS-00034,Don Jordan's Septic Tank Cleaning & Portable Toilet Rental,G Melton,Smith,(910) 231-5280,3785 Ash Little River Rd NW,Ash,NC,28420,Brunswick,Y,Y,N,N,N,"14,000.00",14,0,34.05,-78.55
-8707047.668,4029661.422,1996/06/25 00:00:00+00,2016/05/04 00:00:00+00,2017/05/04 00:00:00+00,12,SDTF-10-13,NCS-00033,Creech's Septic & Grease Trap Cleaning,Ryan,Hewett,(910) 842-6606,2166 Big Neck Road NW,Ash,NC,28420,Brunswick,N,Y,N,N,N,"10,000.00",10,0,34.01,-78.22
-8698706.499,4030864.685,1997/06/26 00:00:00+00,2015/12/16 00:00:00+00,2020/12/16 00:00:00+00,13,SDTF-10-18,NCS-00298,Creech's Septic & Grease Trap Cleaning,Mary,Cook,(910) 253-4689,PO Box 8,Bolivia,NC,28422,Brunswick,N,Y,Y,Y,N,"27,000.00",27,0,34.02,-78.14
-8710277.047,4018412.485,2003/08/22 00:00:00+00,2011/09/01 00:00:00+00,2016/09/01 00:00:00+00,14,SDTF-10-19,NCS-01002,Pearce Backhoe & Septic Tank Svc.,Bill,Jordan,(910) 256-2021,1630 Military Cutoff Rd,Wilmington,NC,28403,Brunswick,Y,N,N,Y,N,"1,000.00",1,0,33.92,-78.25
-9192154.632,4243034.867,1996/03/08 00:00:00+00,2016/05/24 00:00:00+00,2021/05/24 00:00:00+00,15,SDTF-11-01,NCS-00096,Eastside Septic Cleaning Service,Gary,Blankenship,(828) 254-1920,20 Brownwood Ave,Asheville,NC,28806,Buncombe,Y,Y,Y,N,N,"23,800.00",0,0,35.58,-82.57
-9071489.87,4251109.291,1996/09/18 00:00:00+00,2018/03/08 00:00:00+00,2023/03/08 00:00:00+00,16,SDTF-12-03,NCS-00928,Hardee's Septic Tank Service,Regan,Hudson,(828) 874-5147,7204 Old Laurel Rd,Vale,NC,28168,Burke,Y,Y,Y,Y,N,"120,000.00",0,0,35.64,-81.49
-9089070.557,4259733.881,2006/05/08 00:00:00+00,2016/06/29 00:00:00+00,2021/03/01 00:00:00+00,17,SDTF-12-06,NCS-00143,TNT Services Inc.,Ryan,Mull,(828) 437-0959,2416 Mt. Home Church Road,Morganton,NC,28655,Burke,N,Y,N,N,N,"10,000.00",10,0,35.70,-81.65
-9066009.612,4259850.402,2016/02/16 00:00:00+00,2017/05/18 00:00:00+00,2019/05/18 00:00:00+00,18,SDTF-12-07,NCS-00924,Stallings Septic Service,Dennis,Newton,(828) 397-5412,3989 Old Brittain Road,Hickory,NC,28602,Burke,Y,Y,N,N,N,"2,300.00",0,0,35.70,-81.44
-9112905.173,4264168.038,2017/06/30 00:00:00+00,2017/06/30 00:00:00+00,2018/06/30 00:00:00+00,19,SDTF-12-08,NCS-01403,Able Septic Tank Service,Chris,Daly,(863) 287-5410,P.O. Box 2310,Lake Wales,FL,33859,Burke,N,N,N,Y,N,"1,500.00",0,0,35.73,-81.86
-9080393.203,4273025.289,2008/07/02 00:00:00+00,2014/08/28 00:00:00+00,2019/08/28 00:00:00+00,20,SDTF-14-01,NCS-00240,A Pauls Septic Tank Service,Marshall & Darlene,Williams,(828) 728-7116,P.O. Box 546,Hudson,NC,28638,Caldwell,Y,Y,Y,N,N,"32,000.00",32,0,35.80,-81.57
-9058110.38,4288655.526,2010/12/22 00:00:00+00,2017/05/18 00:00:00+00,2022/05/18 00:00:00+00,21,SDTF-14-02,NCS-01142,Taylorsville Precast Molds Inc.,Barry,Sparks,(828)758-0330,5388 Fields Place,Lenoir,NC,28645,Caldwell,Y,N,Y,N,N,"13,000.00",13,0,35.91,-81.37
-8479546.251,4352092.609,2003/07/25 00:00:00+00,2013/11/26 00:00:00+00,2018/07/16 00:00:00+00,22,SDTF-15-02,NCS-00914,Brinson & Miller Inc.,Joseph,Russell,(252) 202-9969,134 Belcross Rd,Camden,NC,27921,Camden,N,Y,Y,Y,Y,"64,250.00",0,0,36.37,-76.17
-8565729.801,4135059.586,1996/02/22 00:00:00+00,2015/10/15 00:00:00+00,2020/12/20 00:00:00+00,23,SDTF-16-05,NCS-00207,Bennie A Moore Septic Tank Service Inc,Donald,Bryant,(252) 726-6761,123 Pete Rd,Newport,NC,28570,Carteret,N,Y,Y,N,N,"25,000.00",25,0,34.79,-76.95
-8576250.606,4123158.275,1997/07/11 00:00:00+00,2015/12/30 00:00:00+00,2020/12/30 00:00:00+00,24,SDTF-16-06,NCS-00645,Bennie A Moore Septic Tank Service Inc,Richard G,Taylor,(252) 393-6426,325 Barrington Ridge,Newport,NC,28570,Carteret,Y,Y,N,N,N,"12,000.00",12,0,34.70,-77.04
-8536757.79,4125992.579,2001/09/25 00:00:00+00,2017/08/30 00:00:00+00,2022/08/30 00:00:00+00,25,SDTF-16-09,NCS-00933,Valley Proteins Inc.,Mike,Marcheselli,(252) 247-7580,156 Radio Island Rd.,Beaufort,NC,28516,Carteret,Y,N,N,Y,N,"2,000.00",2,0,34.72,-76.69
-8537374.5,4143670.02,2005/12/16 00:00:00+00,2013/06/27 00:00:00+00,2018/06/27 00:00:00+00,26,SDTF-16-10,NCS-01012,Mitchell's Septic Tank Cleaning Service Inc.,William K.,Humble  Jr.,(252) 728-4126,729 Sea Gate Dr,Newport,NC,28570,Carteret,N,N,N,Y,N,"1,000.00",1,0,34.85,-76.69
-8563288.565,4137795.222,2008/07/15 00:00:00+00,2012/01/13 00:00:00+00,2017/01/10 00:00:00+00,27,SDTF-16-11,NCS-00049,Mitchell's Septic Tank Cleaning Service Inc.,Morgan and Keith,Garner,(252) 223-4019,5970 Hwy 70,Newport,NC,28570,Carteret,N,Y,Y,N,N,"7,800.00",0,0,34.81,-76.93
-9017173.751,4242178.07,2004/08/16 00:00:00+00,2015/12/16 00:00:00+00,2020/05/20 00:00:00+00,28,SDTF-18-03,NCS-00980,Waste Management of Wilmington,Patt,Dawson,(704) 483-0077,7515 Stonewall Street,Sherrills Ford,NC,28673,Catawba,N,N,N,Y,N,"1,025.00",1,25,35.57,-81.00
-9031664.209,4269969.164,2009/07/08 00:00:00+00,2015/07/30 00:00:00+00,2020/07/30 00:00:00+00,29,SDTF-18-04,NCS-01048,Waste Management of Wilmington,James,Jana,(828) 459-3341,5384 Bolick Rd,Claremont,NC,28610,Catawba,Y,N,N,Y,N,"4,650.00",0,0,35.78,-81.13
-9041370.155,4269827.838,2010/12/22 00:00:00+00,2014/04/16 00:00:00+00,2019/04/16 00:00:00+00,30,SDTF-18-05,NCS-00291,R Mull Septic Tank Service,Kelly,Isenhour,(828)256-2926,1347 Houston Mill Road,Conover,NC,28613,Catawba,N,Y,Y,N,N,"10,000.00",10,0,35.78,-81.22
-8795723.661,4250017.657,1996/06/25 00:00:00+00,2015/03/11 00:00:00+00,2020/01/15 00:00:00+00,31,SDTF-19-02,NCS-00636,Lentz Septic Tank Service,Damon W.,Woodall,(919) 577-1995,51 Buttonwood Court,Fuquay Varina,NC,27526,Chatham,N,N,Y,N,N,"86,000.00",86,0,35.63,-79.01
-9369331.847,4184551.124,2003/08/06 00:00:00+00,2017/12/20 00:00:00+00,2022/12/20 00:00:00+00,32,SDTF-20-01,NCS-00955,Singletary Septic Tank Service,Mary,Maul,(828) 644-5451,200 Dean Aldrich Road,Murphy,NC,28906,Cherokee,Y,N,N,Y,N,"2,000.00",2,0,35.15,-84.17
-9082832.213,4216574.848,1997/10/07 00:00:00+00,2018/03/08 00:00:00+00,2022/10/01 00:00:00+00,33,SDTF-23-06,NCS-00576,Thomas Septic Tank Service,Leonard,McSwain,(704) 482-1380,3020 Ramseur Church Rd,Shelby,NC,28150,Cleveland,N,Y,N,N,N,"10,000.00",10,0,35.39,-81.59
-9083151.7,4200973.381,1996/09/18 00:00:00+00,2017/01/24 00:00:00+00,2021/11/14 00:00:00+00,34,SDTF-23-10,NCS-00574,Rouse Septic Tank Service,Kati,Wesson,(704) 487-9997,707 Poplar Springs Ch Rd,Shelby,NC,28152,Cleveland,N,Y,Y,Y,N,"43,000.00",43,0,35.27,-81.60
-9065604.409,4196812.713,1996/09/26 00:00:00+00,2015/12/16 00:00:00+00,2020/12/10 00:00:00+00,35,SDTF-23-20,NCS-00608,Hoffman Septic Tank Pumping,Trent,Rhea,(704) 739-5849,5030 Harmon Rd,Kings Mountain,NC,28086,Cleveland,Y,Y,N,N,N,"16,000.00",16,0,35.24,-81.44
-8758576.347,4043257.9,2006/05/08 00:00:00+00,2012/10/31 00:00:00+00,2017/05/18 00:00:00+00,36,SDTF-24-06,NCS-00735,Hoffman Septic Tank Pumping,James,Faulk,(910) 653-3672,13603 Swamp Fox Hwy East,Tabor City,NC,28463,Columbus,N,Y,Y,Y,N,"24,000.00",24,0,34.11,-78.68
-8761928.177,4061236.805,2008/04/28 00:00:00+00,2017/07/14 00:00:00+00,2020/05/04 00:00:00+00,37,SDTF-24-07,NCS-00984,B & B Concrete Products Inc,Ben,Harrelson,(910) 642-7431,5454 James B White Hwy S,Whiteville,NC,28472,Columbus,N,Y,Y,Y,N,"8,000.00",8,0,34.24,-78.71
-8766726.047,4048486.366,2017/08/08 00:00:00+00,2017/08/08 00:00:00+00,2018/08/08 00:00:00+00,38,SDTF-24-09,NCS-00282,Bates Septic Tank & Concrete Products Co.,John (Jack),Turner,(910) 653-4810,714 Mollie Ironhill Rd.,Clarendon,NC,28432,Columbus,N,Y,Y,N,N,"14,000.00",14,0,34.15,-78.75
-8589531.021,4186121.037,2003/09/15 00:00:00+00,2016/09/30 00:00:00+00,2021/09/30 00:00:00+00,39,SDTF-25-08,NCS-00912,Williams Septic Tank Service,John W,Dunham,(252) 633-5334,2115 Hwy 55 West,New Bern,NC,28562,Craven,Y,Y,Y,Y,Y,"145,000.00",0,0,35.16,-77.16
-8600153.127,4204013.077,2006/05/22 00:00:00+00,2012/02/20 00:00:00+00,2017/02/07 00:00:00+00,40,SDTF-25-10,NCS-01000,C. S. Hines Inc.,Michael,Braxton,(252) 244-0713,9900 US Hwy 17 North,Vanceboro,NC,28586,Craven,N,Y,Y,Y,N,"12,000.00",12,0,35.29,-77.26
-8778942.248,4168014.51,2002/06/10 00:00:00+00,2013/06/25 00:00:00+00,2018/06/25 00:00:00+00,41,SDTF-26-02,NCS-00875,Matthews Septic Tank Service,Robert,Vogler,(910) 483-0473,1309 Industrial Drive,Fayetteville,NC,22604,Cumberland,Y,N,Y,N,N,"47,980.00",0,0,35.03,-78.86
-8761408.315,4165396.488,2012/01/27 00:00:00+00,2014/10/23 00:00:00+00,2018/12/31 00:00:00+00,42,SDTF-26-04,NCS-01177,Jim's Liquid Waste Hauling LLC,Chip,Humphrey,(910) 483-8873,4800 Front Street,Stedman,NC,28391,Cumberland,N,Y,Y,N,Y,"98,600.00",0,0,35.01,-78.71
-8776344.051,4158392.3,2015/09/22 00:00:00+00,2017/12/20 00:00:00+00,2018/12/31 00:00:00+00,43,SDTF-26-05,NCS-01330,Brocks Septic Tank Service,Joshua,Hanlon,(910) 323-4672,2990 Ervin Alston Road,Fayetteville,NC,28306,Cumberland,Y,N,Y,N,Y,"104,000.00",0,0,34.96,-78.84
-8442949.969,4321728.877,1996/02/22 00:00:00+00,2014/03/05 00:00:00+00,2019/03/03 00:00:00+00,44,SDTF-27-06,NCS-00090,Brocks Septic Tank Service,Roy,Etheridge,(252) 261-3073,PO Box 296,Powells Point,NC,27966,Currituck,N,Y,Y,Y,Y,"38,000.00",0,0,36.15,-75.84
-8460165.528,4351921.174,2009/04/13 00:00:00+00,2014/07/30 00:00:00+00,2018/12/10 00:00:00+00,45,SDTF-27-11,NCS-00210,Register's Septic Tank Pumping,Paul,Hoffman,(252) 339-4900,110 Enterprise Drive,Elizabeth City,NC,27909,Currituck,N,Y,Y,Y,Y,"11,000.00",0,0,36.37,-76.00
-8441244.554,4316358.917,2010/11/18 00:00:00+00,2017/04/17 00:00:00+00,2022/04/17 00:00:00+00,46,SDTF-27-17,NCS-01151,Hall's Septic Tank Cleaning Service,J. Bryan,Smith,(252) 255-2030,PO Box 2560,Kitty Hawk,NC,27949,Currituck,Y,Y,Y,Y,Y,"46,000.00",0,0,36.11,-75.83
-8460006.341,4351557.574,2010/11/18 00:00:00+00,2017/04/17 00:00:00+00,2022/04/14 00:00:00+00,47,SDTF-27-19,NCS-01151,Rogers Septic Tank Service,J. Bryan,Smith,(252) 255-2030,PO Box 2560,Kitty Hawk,NC,27949,Currituck,Y,Y,Y,Y,Y,"88,000.00",0,0,36.37,-76.00
-8461395.608,4360106.127,2010/11/18 00:00:00+00,2012/03/15 00:00:00+00,2017/02/21 00:00:00+00,48,SDTF-27-20,NCS-00242,C & C Septic Tank Service,C. S.,Hines,(252) 232-3121,3178 Caratoke Hwy,Currituck,NC,27929,Currituck,Y,Y,Y,N,N,"20,000.00",20,0,36.43,-76.01
-8442805.253,4322378.249,2016/05/05 00:00:00+00,2017/04/17 00:00:00+00,2022/04/17 00:00:00+00,49,SDTF-27-22,NCS-01151,Haywood Jordans Septic Service,J. Bryan,Smith,(252) 255-2030,PO Box 2560,Kitty Hawk,NC,27949,Currituck,Y,Y,Y,Y,Y,"284,000.00",0,0,36.16,-75.84
-8442554.785,4321534.486,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2018/06/23 00:00:00+00,50,SDTF-27-23,NCS-01377,S & S Septic Tank Pumping,Jonathan,Younts,(252) 489-9313,5150 Woods Road,Kitty Hawk,NC,27949,Currituck,N,Y,Y,Y,N,"20,000.00",20,0,36.15,-75.84
-8426824.227,4192465.589,2003/08/13 00:00:00+00,2017/08/30 00:00:00+00,2022/08/30 00:00:00+00,51,SDTF-28-02,NCS-00983,Cool Park Pumping,Ted,Midgett,(252) 986-2460,PO Box 520,Hatteras,NC,27943,Dare,Y,N,N,Y,N,"1,200.00",0,0,35.21,-75.70
-8920566.244,4273627.833,2017/03/09 00:00:00+00,2017/03/09 00:00:00+00,2018/03/09 00:00:00+00,52,SDTF-29-03,NCS-00942,S & B Maintenance LLC,Jason,Gibson,(336) 474-1436,280 Cunningham Brickyard Road,Lexington,NC,27292,Davidson,N,N,Y,N,N,"20,000.00",20,0,35.80,-80.13
-8697958.432,4164678.882,1996/04/29 00:00:00+00,2013/02/06 00:00:00+00,2017/10/11 00:00:00+00,53,SDTF-31-07,NCS-00256,Valley Proteins Inc. (Rose Hill NC),Kenneth,Register,(910) 293-4022,630 Penny Branch Rd,Warsaw,NC,28398,Duplin,N,Y,Y,Y,N,"5,000.00",5,0,35.01,-78.14
-8687129.272,4141932.483,1998/12/17 00:00:00+00,2011/08/11 00:00:00+00,2016/08/11 00:00:00+00,54,SDTF-31-08,NCS-00301,Stay Clean,David,Frey,(910) 289-2083,469 Yellow Cut Rd,Rose Hill,NC,28458,Duplin,Y,N,Y,N,N,"11,000.00",11,0,34.84,-78.04
-8657545.004,4161734.194,2000/03/24 00:00:00+00,2017/08/30 00:00:00+00,2022/08/30 00:00:00+00,55,SDTF-31-10,NCS-00810,Triple T Pumping,Roy,Heath Jr,(910) 347-6181,4025 Richlands Hwy,Jacksonville,NC,28540,Duplin,N,Y,N,N,N,"15,000.00",15,0,34.98,-77.77
-8659513.133,4148097.148,2000/07/12 00:00:00+00,2015/06/16 00:00:00+00,2019/04/24 00:00:00+00,56,SDTF-31-11,NCS-00259,Triple T Pumping,Emmett,Hall,(910) 298-5750,297 Durwood Evans Rd,Beulaville,NC,28518,Duplin,Y,Y,N,N,N,"5,000.00",5,0,34.88,-77.79
-8682473.891,4182223.215,2003/05/22 00:00:00+00,2016/08/11 00:00:00+00,2019/01/01 00:00:00+00,57,SDTF-31-12,NCS-00254,Cannons Septic Tank Service Inc.,Eldridge Ray,Brock,(919) 658-2832,2899 Summerlin Crossroads Rd,Mt Olive,NC,28365,Duplin,Y,Y,Y,N,Y,"58,000.00",0,0,35.13,-78.00
-8677068.216,4152585.767,2007/03/30 00:00:00+00,2011/06/14 00:00:00+00,2016/06/13 00:00:00+00,58,SDTF-31-14,NCS-01046,Cheek Environmental,James,Dobson,(910) 296-4620,278 Graham Dobson Rd,Magnolia,NC,28453,Duplin,N,Y,Y,Y,N,"20,000.00",20,0,34.92,-77.95
-8674615.848,4143249.514,2010/03/03 00:00:00+00,2014/07/23 00:00:00+00,2019/06/01 00:00:00+00,59,SDTF-31-16,NCS-01046,Millers Septic Service,James A,Dobson,(910) 296-4620,278 Graham Dobson Rd,Magnolia,NC,28453,Duplin,N,Y,Y,Y,Y,"20,000.00",0,0,34.85,-77.93
-8781628.388,4298481.927,2017/03/09 00:00:00+00,2017/03/09 00:00:00+00,2018/03/09 00:00:00+00,60,SDTF-32-03,NCS-01374,Pearce Concrete,Jim,Lanier,(704) 263-8186,1401 Angier Avenue,Durham,NC,27703,Durham,Y,N,Y,N,N,"40,000.00",40,0,35.98,-78.89
-8653389.694,4286946.584,2005/11/01 00:00:00+00,2012/06/27 00:00:00+00,2016/10/11 00:00:00+00,61,SDTF-33-06,NCS-00470,Powell's Septic Tank Service,Blake,Boswell,(252) 977-9384,PO Box 236,Sharpsburg,NC,27878,Edgecombe,Y,Y,Y,Y,N,"37,000.00",37,0,35.90,-77.73
-8939528.406,4325017.502,1997/06/26 00:00:00+00,2017/12/20 00:00:00+00,2022/12/20 00:00:00+00,62,SDTF-34-01,NCS-00052,AAA Septic Service Inc.,Jerry T,Sprinkle,(336) 924-8677,4900 Murry Rd,Winston-Salem,NC,27106,Forsyth,N,Y,Y,N,N,"3,000.00",3,0,36.18,-80.31
-8930704.11,4310796.046,2001/11/27 00:00:00+00,2017/09/22 00:00:00+00,2022/03/01 00:00:00+00,63,SDTF-34-02,NCS-00934,Roberts Septic Tank Cleaners,Rod,Sides,(704) 904-0300,P.O. Box 208,Lewisville,NC,27023,Forsyth,N,N,Y,N,N,"16,125.00",16,125,36.07,-80.23
-8931187.237,4307573.698,2016/09/30 00:00:00+00,2017/12/20 00:00:00+00,2022/06/30 00:00:00+00,64,SDTF-34-06,NCS-01372,Gerald Temple Backhoe Services LLC,Joshua,Hanlon,(704) 497-0455,750 Palmer Lane,Winston Salem,NC,27107,Forsyth,N,N,Y,N,N,"95,000.00",0,0,36.05,-80.23
-8728851.817,4179961.12,1996/03/25 00:00:00+00,2014/08/28 00:00:00+00,2019/08/28 00:00:00+00,65,SDTF-35-01,NCS-00347,Dudley's Septic Tank Service,Denise R.,Roberts,(919) 494-2914,431 South Cheatham Street,Franklinton,NC,27525,Franklin,N,Y,N,N,N,"1,500.00",0,0,35.12,-78.41
-8725004.615,4300582.845,2008/05/23 00:00:00+00,2016/06/14 00:00:00+00,2018/04/01 00:00:00+00,66,SDTF-35-05,NCS-00858,Parks Septic Tank Cleaning Service,Keith,Clemons,(919) 872-2202,3008 Dawnbrook Drive,Raleigh,NC,27604,Franklin,N,Y,Y,N,N,"6,000.00",6,0,36.00,-78.38
-8713043.336,4289357.902,2009/08/11 00:00:00+00,2014/06/26 00:00:00+00,2019/04/01 00:00:00+00,67,SDTF-35-06,NCS-01127,Cooper Septic Tank Service LLC,Ryan Shane,Brantley,(252) 478-3721,37 Pine Ridge Road,Zebulon,NC,27597,Franklin,N,Y,Y,Y,Y,"15,500.00",0,0,35.92,-78.27
-8711128.641,4290526.34,2008/09/13 00:00:00+00,2017/03/09 00:00:00+00,2022/03/09 00:00:00+00,68,SDTF-35-07,NCS-01127,Billingsley Septic Tank Co.,Shane,Brantley,(252) 478-3721,37 Pine Ridge Road,Zebulon,NC,27597,Franklin,Y,Y,Y,Y,Y,"111,000.00",0,0,35.93,-78.25
-8725465.478,4299724.267,2017/08/03 00:00:00+00,2017/08/03 00:00:00+00,2018/08/03 00:00:00+00,69,SDTF-35-10,NCS-01317,Gann Brothers Septic Tank Service Inc.,Marlon,Lewis,(919) 818-4342,186 EF Cotttrell Road,Louisburg,NC,27549,Franklin,N,Y,Y,N,N,"4,500.00",0,0,35.99,-78.38
-9035726.257,4213118.08,1998/09/21 00:00:00+00,2015/06/09 00:00:00+00,2017/03/20 00:00:00+00,70,SDTF-36-04,NCS-01373,Overbey's,Jim,Lanier,(704) 263-8186,131 Mariposa Road,Stanley,NC,28164,Gaston,N,Y,N,N,N,"226,000.00",0,0,35.36,-81.17
-9027646.689,4214559.634,2007/08/17 00:00:00+00,2013/09/27 00:00:00+00,2018/09/27 00:00:00+00,71,SDTF-36-05,NCS-01373,Hoke Septic Service Inc,Jim,Lanier,(704) 263-8186,131 Mariposa Road,Stanley,NC,28164,Gaston,N,Y,Y,N,N,"12,000.00",12,0,35.37,-81.10
-9038485.867,4186722.919,2002/06/10 00:00:00+00,2013/07/25 00:00:00+00,2018/07/25 00:00:00+00,72,SDTF-36-07,NCS-00876,Jeff Lawson Septic Tank & Pumping Service,Robert,Vogler,(704) 864-9941,5533 South York Road,Gastonia,NC,28052,Gaston,Y,N,Y,N,N,"7,824.00",0,0,35.17,-81.19
-9050967.009,4218373.287,2004/04/19 00:00:00+00,2014/12/31 00:00:00+00,2019/12/31 00:00:00+00,73,SDTF-36-10,NCS-00868,V & S Septic Service,Bryson,Willis,(704) 435-2326,P.O. Box 86,Cherryville,NC,28021,Gaston,N,Y,Y,N,N,"64,000.00",64,0,35.40,-81.31
