Responsible Company,Latitude,Longitude,State,Water Reached?,Total
111 AIR NATIONAL GUARD,40.21136523,-75.14237098, PA,Yes,0
111TH AIR NATIONAL GUARD,40.16963216,-75.12839611, PA,Yes,0
186 AIR REFUELING WING,32.34431197,-88.74190826, MS,No,0
187TH FIGHTER WING AIR NATIONAL GUARD,32.30603386,-86.40198733, AL,Yes,0
3M,37.832805,-94.332204, MO,Yes,0
3M,41.753907,-90.288882, IL,Yes,0
3M,44.950176,-93.0048795, MN,Yes,0
3M,44.96484549,-93.062835, MN,Yes,0
3M COMPANY,44.8443101,-92.94922, MN,Yes,0
3-M COMPANY,37.88818331,-94.34349777, MO,Yes,0
62ND AIR LIFT,47.25513,-122.44164, WA,Yes,0
911 AIRFORCE WING,40.49286831,-80.20967052, PA,Yes,0
914 AIRLIFT WING,43.096,-79.05551, NY,Yes,0
ACE FIRE EXTINQUISHER SERVICE,38.978514,-76.9232565, MD,Yes,0
AEROCORP,30.1778,-82.57182, FL,Yes,0
AGUSTA AIR AND SPACE CORP,40.08397411,-75.0020792, PA,Yes,0
AIR NATIONAL GUARD,32.22177,-110.96977, AZ,Yes,0
AIRFORCE RESERVES,25.497448,-80.4070281, FL,Yes,0
ALASKA MARINE LINES,47.57044842,-122.3418374, WA,Yes,0
ALCOA CORP,39.854664,-84.9094605, IN,Yes,0
ALCOA MILL PRODUCTS,40.07411791,-76.33628318, PA,No,0
ALCOLA INC.,40.07411791,-76.33628318, PA,Yes,0
ALLIED AVAITION,38.54443942,-121.5501719, CA,Yes,0
ALYESKA PIPELINE,61.08527778,-146.3911111, AK,Yes,0
ALYESKA PIPELINE,61.08609753,-146.2848056, AK,No,0
ALYESKA PIPELINE,61.13038,-146.3541, AK,No,0
ALYESKA PIPELINE,61.13038,-146.3541,,Yes,0
ALYESKA PIPELINE,61.21753,-149.85825, AK,Yes,0
ALYESKA PIPELINE,64.83704588,-147.7882521, AK,Yes,0
ALYESKA PIPELINE,64.84525,-147.7221, AK,Yes,0
ALYESKA PIPELINE,70.20239,-148.46405, AK,Yes,0
ALYESKA PIPELINE,(blank),(blank), AK,Yes,0
ALYESKA PIPELINE SER CO,61.13038,-146.3541, AK,Yes,0
ALYESKA PIPELINE SERVICE,61.08609753,-146.2848056, AK,No,0
ALYESKA PIPELINE SERVICE,61.13038,-146.3541, AK,No,0
ALYESKA PIPELINE SERVICE,61.13038,-146.3541,,Yes,0
ALYESKA PIPELINE SERVICE,64.84525,-147.7221, AK,No,0
ALYESKA PIPELINE SERVICE CO.,61.09222222,-146.4, AK,Yes,0
ALYESKA PIPELINE SERVICE COMPANY,61.08609753,-146.2848056, AK,Yes,0
ALYESKA PIPELINE SERVICES,61.13038,-146.3541, AK,Yes,0
AMERADA HESS CORP,42.611139,-73.751823, NY,Yes,0
AMERICAN AIRLINES,32.90570803,-97.06493591, TX,Yes,0
AMERICAN AIRLINES,33.00637599,-97.31339402, TX,Yes,0
AMERICAN AIRLINES,36.20485139,-95.86888101, OK,Yes,0
AMERICAN AIRLINES,39.880278,-75.2302935, PA,Unknown,0
AMERICAN AIRLINES,40.65323785,-73.81198707, NY,Yes,0
AMERICAN AIRLINES,40.70179,-73.80853, NY,Yes,0
AMERICAN AIRLINES,(blank),(blank), NY,Yes,0
ANADARKO,26.13222222,-92.04027778, LA,Yes,0
ANDERSON CORP.,45.024426,-92.777553, MN,Yes,0
ANSUL CHEMICAL CO,45.10522602,-87.638375, WI,Yes,0
ARCO CHERRY POINT REFINERY,48.888819,-122.73498, WA,Yes,0
ARCO PRODUCTS CO,38.56821729,-121.5234537, CA,Yes,0
ARROW MATERIAL SERVICES,39.28057895,-81.63218812, OH,Unknown,0
ASH GROVE CEMENT COMPANY,33.694119,-94.424481, AR,No,0
ASHLAND CHEMICAL INC.,39.921735,-75.16244, PA,Yes,0
ASSOCIATED CARTING,41.22836147,-73.16015362, CT,Yes,0
ATLANTIC SHELLFISH,41.634009,-70.906716, MA,Yes,0
ATOFINA PETRO CHEMICAL,30.21885257,-91.06522225, LA,Yes,0
AUSTAL USA,30.35777778,-88.03388889, AL,Yes,0
AUSTAL USA,30.68451229,-88.0314413, AL,Yes,0
AUSTAL USA,30.69111111,-88.03388889, AL,Yes,0
AVALON VOL FIRE DEPT,40.50342225,-80.06568524, PA,Yes,0
AVONDALE INDUSTRIES,29.91259,-90.20401, LA,Yes,0
AVONDALE INDUSTRIES,29.91931834,-90.19078117, LA,Yes,0
AVONDALE INDUSTRIES INC.,29.91931834,-90.19078117, LA,Yes,0
BANGOR INTERNATIONAL AIRPORT,44.805795,-68.773135, ME,Yes,0
BARB AND ED TRUCKING,38.93681,-77.18493, VA,Yes,0
BAY GULF TRANDING CO,36.83780287,-76.28102184, VA,Yes,0
BEALE AFB,39.09432,-121.33729, CA,No,0
BEALE AFB,39.102685,-121.33611, CA,Unknown,0
BEALE AIR FORCE BASE,39.12506294,-121.3855865, CA,Yes,0
BERKLEY SPRINGS VOLUNTEER FD,39.54627917,-78.17277296, WV,Yes,0
BILL AND HILARY CLINTON AIROPORT,34.7487,-92.27485, AR,Yes,0
BOAT OWNER,28.83124903,-82.66613844, FL,Yes,0
BOEING CO,47.541924,-122.3161605, WA,Yes,0
BOEING COMPANY,47.89571908,-122.2787437, WA,Yes,0
BP CHERRY POINT,48.888819,-122.73498, WA,Yes,0
BP EXPLORATION,29.72895162,-90.5977526, LA,Yes,0
BP EXPLORATION (ALASKA),70.20239,-148.46405, AK,No,0
BUREAU OF RECLAMATION GRAND COOLEY DAM,47.49926,-122.46236, WA,Yes,0
C.R. ENGLAND,40.97409,-111.4417, UT,Unknown,0
CAFELLA WASTE SERVICE,42.975396,-73.84644, NY,Yes,0
CALIFORNIA AIR NATIONAL GUARD,35.01149,-116.52284, CA,Yes,0
CAMP PENDLETON AIR STATION,33.31071695,-117.3365252, CA,Yes,0
CARGILL INC.,34.3247414,-86.33538, AL,Yes,0
CARGILL INC.,34.34668537,-86.28821024, AL,Yes,0
CARPETING FOR KIDS,33.03988394,-84.91383528, GA,Yes,0
CARRIBEAN REFRESCOS INC,18.1816188,-66.15692651, PR,Yes,0
CD TRUCKING INC.,29.6670918,-95.56062488, TX,Unknown,0
CD TRUCKING INC.,29.6670918,-95.56062488,,Yes,0
CENTERPOINT ENERGY,29.81943107,-95.56998604, TX,No,0
CHEMOURS,34.836678,-78.837885,NC,No,0
CHEMOURSE,34.836678,-78.837885,NC,No,0
CHEVRON,27.81277778,-90.51888889, LA,Yes,0
CHEVRON / TEXACO,34.1794055,-118.468143, CA,No,0
CHEVRON CORP.,27.81277778,-90.51888889, LA,Yes,0
CIRCLE B GRADING AND HAULING,33.71967438,-112.3253735, AZ,Yes,0
CITGO,27.932787,-82.445508, FL,Yes,0
CITY OF OCEAN SIDE,33.20401484,-117.3904311, CA,Yes,0
CITY OF PEMBROOK,32.134623,-81.619632, GA,No,0
CITY OF PEMBROOK,32.134623,-81.619632,,Yes,0
CITY OF PHOENIX,33.434805,-112.05867, AZ,Yes,0
CITY OF PHOENIX,33.43515847,-112.0073805, AZ,Yes,0
CITY OF SANTA BARBARA FIRE STATION #2,34.41194341,-119.6961525, CA,Yes,0
CLOROX COMPANY,33.62738045,-84.3912045, GA,No,0
CLOROX SERVICES,39.481254,-76.19211, MD,Yes,0
COBB COUNTY FIRE DEPT. HAZMAT TEAM,34.0741448,-84.55775111, GA,Yes,0
CON EDISON,40.7601392,-73.96226383, NY,Yes,0
CON EDISON,40.93747516,-73.86016401, NY,Yes,0
CONOCO PHILLIPS,39.82640808,-75.40504247, PA,Yes,0
CONSOLIDATED EDISON COMPANY OF NEW YORK,40.76610985,-73.97720681, NY,Yes,0
CONSOLIDATED EDISON COMPANY OF NEW YORK,40.772421,-73.993356, NY,Yes,0
CONSOLIDATED EDISON COMPANY OF NEW YORK,41.12496,-74.16934, NY,Yes,0
CONSOLIDATED EDISON COMPANY OF NEW YORK,41.128218,-74.162988, NY,Yes,0
CONSOLIDATED EDISON COMPANY OF NEW YORK,41.12827729,-74.16309076, NY,Yes,0
CONTINENTAL CEMENT CO.,39.67758,-91.315674, MO,No,0
CONTINENTAL MARITIME,32.71568,-117.16171, CA,Yes,0
COVINGTON FLOORING CO.,33.40203,-86.95399, AL,No,0
CRESTONE PEAK RESOURCES,39.66725136,-104.622239, CO,No,0
CRESTONE PEAK RESOURCES,39.74003549,-104.6031157, CO,No,0
CROWLEY,61.08609753,-146.2848056, AK,No,0
CROWLEY MARINE SERVICES,61.13038,-146.3541, AK,Yes,0
CSX RAILROAD,41.0445132,-77.3097705, PA,No,0
CSX TRANSPORTATION,36.130437,-88.518159, TN,Yes,0
CT LIGHT AND POWER,41.33780751,-72.10385424, CT,No,0
CWM RESOURCE MANAGEMENT,33.60860886,-84.32118435, GA,Yes,0
DALLAS FIRE DEPARTMENT,32.785794,-96.735141, TX,Yes,0
DALLAS FIRE DEPT,32.7803593,-96.76896093, TX,Yes,0
DALLAS FIRE DEPT,32.79078,-96.7699305, TX,Yes,0
DALTON UTILITIES,34.63923933,-84.90100441, GA,Yes,0
DAVIS-MONTHAN AFB,32.17729964,-110.8779869, AZ,Yes,0
DE. DEPT. OF NATURAL RESOURCES. (DNREC),38.66247411,-75.17040936, DE,Yes,0
DELTA AIRLINES,32.88503928,-97.02225259, TX,Yes,0
DELTA AIRLINES,32.92885,-97.04904, TX,Yes,0
DELTA AIRLINES,33.94098043,-118.4291699, CA,Yes,0
DELTA AIRLINES,39.05920467,-84.65402486, KY,Yes,0
DELTA AIRLINES,40.68988577,-111.823336, UT,Yes,0
DELTA AIRLINES,40.76031,-111.88822, UT,Yes,0
DELTA AIRLINES,44.870922,-93.2325435, MN,Yes,0
DELTA AIRLINES INC,32.88503928,-97.02225259, TX,Yes,0
DENVER FIRE DEPARTMENT STATION NUMBER 16,39.687336,-104.9757965, CO,Yes,0
DEPT OF AVIATION CITY OF ATLANTA,33.65496031,-84.4134315, GA,Yes,0
DIAMOND SHAMROCK REFINING,36.1398105,-101.826792, TX,Yes,0
DIRECTORITE OF PUB WORKS ENV FT. BELVOIR,38.7116374,-77.18160266, VA,Yes,0
DOW CHEMICAL INC,30.32297356,-91.25269208, LA,Yes,0
DUPONT,35.0279605,-78.80114181,NC,Yes,0
DUPONT,39.68436656,-75.48994947, NJ,No,0
DUPONT COMPANY,39.235815,-81.675265, WV,Yes,0
DUPOT DOW ELASTOMERF,39.68436656,-75.48994947, NJ,No,0
EASTERN SHORE RR,37.87751,-75.58979, VA,Yes,0
EGLIN AIR FORCE BASE,30.449,-86.61668, FL,No,0
EGLIN AIR FORCE BASE,30.47360877,-86.4903009, FL,Yes,0
EIELSON AFB,64.66444,-147.09944, AK,No,0
EIELSON AFB,64.74946,-147.3533, AK,Yes,0
EIELSON AFB,64.856736,-147.7658451, AK,Yes,0
EIELSON AIR FORCE BASE,64.66722222,-147.0913889, AK,No,0
EIELSON AIR FORCE BASE,64.69022,-147.12452, AK,Yes,0
ELMENDORF AIR FORCE BASE,61.243415,-149.814575, AK,No,0
ENTERGY,29.94752883,-90.14526616, LA,Yes,0
ENVIRONMENTAL MANAGMENT FOR WPAFB,39.81930979,-84.03777991, OH,No,0
ENVIRONMENTAL RECOVERY GP,30.39299,-81.43081, FL,Yes,0
ENVIRONMENTAL RECOVERY GR,30.37717,-81.41025, FL,Yes,0
EQUILON ENTERPRISES INC PUGET SOUND REFI,48.467799,-122.560407, WA,Yes,0
ERICKSON AIRCRANE CO,48.3883,-115.55581, MT,Yes,0
EVIATION,34.64720046,-112.4300773, AZ,No,0
EXTRACTION OIL AND GAS,40.34111111,-104.9972222, CO,No,0
EXXON BENICIA REFINERY,38.07171,-122.1392205, CA,Yes,0
EXXON MOBIL,33.73791209,-118.2719632, CA,Yes,0
EXXON MOBIL BATON ROUGE REFINERY,30.486159,-91.169694, LA,Yes,0
EXXON MOBILE,30.486159,-91.169694, LA,Yes,0
FAIRCHILD AFB,47.6443,-117.59311, WA,Yes,0
FEDERAL EXPRESS,33.943545,-118.423845, CA,Yes,0
FEDERAL EXPRESS,33.95321,-84.54649, GA,No,0
FEDERAL EXPRESS,35.04100841,-89.96861314, TN,Yes,0
FEDERAL MARINE,47.58894251,-122.3381377, WA,Yes,0
FEDEX,36.12035581,-79.92469676,NC,No,0
FIRE STATION # 19,33.44825,-112.0758, AZ,Yes,0
FIRE STATION 97,38.565891,-121.3012665, CA,No,0
FLEXFOAM PRODUCTS,32.71723084,-96.27469556, TX,Yes,0
FORT LANGLEY/EUSTIS,37.07989,-76.34684, VA,Yes,0
FRANCIS S. GABRESKI ANGB,40.815155,-72.644145, NY,Unknown,0
G.O.D INC.,41.27228,-72.94998, CT,Yes,0
GAC ACENCY HOUSTON,29.35,-94.73833333, TX,Yes,0
GALVAN'S TIRE SERVICE,29.71001747,-95.31422499, TX,No,0
GALVAN'S TIRE SERVICE,29.71001747,-95.31422499,,Yes,0
GATX TERMINAL,39.846204,-75.2450715, NJ,Yes,0
GE JOHNSON CONSTRUCTION,39.71791454,-105.1292205, CO,Unknown,0
GEORGIA POWER,33.81977226,-84.48290365, GA,Yes,0
GLOBAL COMPANIES  LLC,43.63436378,-70.28316488, ME,Yes,0
GOMEX ENERGY OFFSHORE,28.41083333,-92.61555556, LA,Yes,0
GREAT LAKE DRUDGING AND DOCK,(blank),(blank),NC,No,0
GREEN LEAF BIOFUELS,41.290047,-72.905544, CT,Yes,0
GRIFFISS AIR FORCE BASE,43.23396,-75.40656, NY,Yes,0
GUERNSEY SCRAP METAL,39.37384,-81.39668, OH,No,0
GUERNSEY SCRAP METAL,39.37384,-81.39668,,Yes,0
GULF OIL,41.297985,-72.935705, CT,No,0
GULF OIL LP,40.60399806,-74.23547943, NJ,No,0
GULF OIL LP,40.60399806,-74.23547943,,Yes,0
GULF STREAM AERO SPACE,33.81724559,-118.1441706, CA,Yes,0
GULFSTREAM AEROSPACE,32.11968535,-81.20611636, GA,Yes,0
HAMPTON BAY FIRE DEPT,40.84148493,-72.48099877, NY,Yes,0
HANSCOM AIRFORCE BASE,42.465258,-71.2726515, MA,Yes,0
HARTFORD HOSPITAL,41.754339,-72.68071348, CT,Yes,0
HELICOPTER C-COMBAT SQUARDON 5,36.85217892,-76.28116927, VA,Yes,0
HELIX ENERGY SOLUTIONS,28.88333333,-90.1, LA,Yes,0
HENKEL CORPORATION,35.632953,-80.535834,NC,Yes,0
HENKEL EMERY GROUP,39.18035007,-84.50786347, OH,Yes,0
HERCULES INC,31.165371,-81.481005, GA,Yes,0
HERTZ CAR INFOR,39.83791255,-104.6971845, CO,Yes,0
HESS OIL CO.,39.68618003,-76.89405983, MD,Yes,0
HOUSTON FIRE DEPARTMENT HAZMAT TEAM,29.780172,-95.3898885, TX,Yes,0
HOUSTON FIRE DEPT ENGINE 15,29.76078,-95.36952, TX,Yes,0
HURLBURT FIELD,30.40424,-86.6153, FL,No,0
ILLINOIS AIR NAT'L GUARD,40.65668225,-89.70373716, IL,Yes,0
ILWUACO FIRE DEPARTMENT,46.3088,-124.03547, WA,No,0
IMTT JOLIET,41.412672,-88.2040725, IL,Yes,0
IMTT-RICHMOND-CA,37.922562,-122.369121, CA,No,0
INTERCONTINENTAL TERMINALS COMPANY,29.72705915,-95.08984434, TX,Yes,0
ITC,29.72705915,-95.08984434, TX,Yes,0
J&J ENTERPRISES,36.75531,-76.05968, VA,Yes,0
JACKSONVILLE FIRE DEPT,30.4211692,-81.63588154, FL,Yes,0
JBLM,47.097005,-122.596275, WA,Yes,0
JOINT BASE PEARL HARBOR,21.37589307,-157.9293236, HI,No,0
JW DEMOLITION,36.1445313,-81.30159397,NC,Yes,0
KANEKA TEXAS CORP,29.623239,-95.0838795, TX,Yes,0
KANSAS AIR NATIONAL GUARD,38.9420017,-95.702478, KS,Yes,0
KANTO CORP.,45.57485392,-122.6427296, OR,Yes,0
KENDA LOGISTICS,33.65652,-84.44874, GA,Yes,0
KENDER MORGAN,29.72718,-95.2326585, TX,Yes,0
KESSLER AIR FORCE BASE,30.40112269,-88.91482919, MS,Unknown,0
KINDER MORGAN,29.72209075,-95.20347331, TX,Yes,0
KINDER MORGAN,29.72718,-95.2326585, TX,Yes,0
KINDER MORGAN,45.60279594,-122.7887063, OR,Yes,0
KINDER MORGAN GALENA PARK,29.72718,-95.2326585, TX,Yes,0
KINDER MORGAN SE TERMINALS (KMST),35.95847442,-83.99667147, TN,Yes,0
KRAMERS IRON AND METAL,33.76672,-118.1924, CA,Yes,0
LA COUNTY FIRE DEPT,40.39662,-123.93813, CA,Yes,0
LAMBERT/ ST LOUIS INT. AIRPORT,38.74007341,-90.36498526, MO,Yes,0
LANGLEY AIR FORCE BASE,38.94646,-77.1591, VA,Yes,0
LGSTX SERVICES,39.43178796,-83.78805252, OH,No,0
LINCOLN FIRE DEPARTMENT,40.8689613,-96.62753068, NE,Yes,0
LOCAL FIRE DEPT ON-SCENE CONTACT,41.497533,-95.3629488, IA,Yes,0
LOCK HAVEN FIRE DEPARTMENT,41.13032458,-77.44495808, PA,No,0
LOCKHEED MARTIN,34.74438845,-82.37906823, SC,Yes,0
LONG BEACH FIRE DEPARTMENT,33.76672,-118.1924, CA,Yes,0
LONG BEACH FIRE DEPARTMENT,33.78456335,-118.1459411, CA,Yes,0
LONG BEACH FIRE DEPARTMENT,33.86741688,-118.1644695, CA,Yes,0
LOS ANGELES DEPT OF WATER AND POWER,34.05267709,-118.2640385, CA,No,0
LOS ANGELES WORLD AIRPORTS,33.94160889,-118.4243995, CA,Yes,0
LOWES HOME IMPROVEMENT,47.498049,-122.645268, WA,Unknown,0
LUKENS INC,39.981528,-75.8231595, PA,Yes,0
M/V GATSBY,41.31857761,-71.99018032, CT,Yes,0
M/V STOLT CAPABILITY,40.6964186,-74.21356826, NJ,Yes,0
MADEIRA BAY MARINA,27.78818819,-82.78589704, FL,Yes,0
MAERSKLINE LTD,39.95222,-75.16218, PA,Yes,0
MAINE AIR NATIONAL GUARD,44.80171,-68.77077, ME,Yes,0
MARIN CORP STA MIRAMAR,32.75195333,-117.2101287, CA,Yes,0
MARINETTE MARINE CORP,45.09908363,-87.62104433, WI,Yes,0
MARINETTE MARINE CORPORATION,45.09908363,-87.62104433, WI,Yes,0
MCAS CHERRY POINT,34.88227647,-76.86966412,NC,Yes,0
MERIDAN MANAGEMENT CO.,40.65324172,-73.81167095, NY,No,0
METRO MACHINES CORP,36.83781129,-76.28904497, VA,Yes,0
MILITARY SEA LIFT COMMAND,32.71446257,-117.176571, CA,Yes,0
MILITARY SEA LIFT COMMAND,37.85949258,-122.2323319, CA,Yes,0
MINOT US AIR FORCE BASE,48.24888889,-101.2655556, ND,No,0
MISSISSIPPI ANG,32.34431197,-88.74190826, MS,Unknown,0
MONROE ENERGY,39.82640808,-75.40504247, PA,No,0
MSC,38.2882,-77.3853, VA,Yes,0
MUNIZ AIR NATIONAL GUARD,18.439011,-65.994192, PR,No,0
NARCHEM CORP.,41.82314867,-87.71925584, IL,No,0
NAS JACKSONVILLE,30.207195,-81.6865785, FL,No,0
NAS OCEANA,36.75531,-76.05968, VA,No,0
NASA,37.9343,-75.47844, VA,No,0
NASA WALLOPS SLIGHT FACILITY,37.93578879,-75.46992023, VA,Unknown,0
NAS-OCEANA,36.80191619,-76.0049278, VA,Yes,0
NATIONAL FOAM,39.958785,-75.596706, PA,Yes,0
NATIONAL GUARD,41.596704,-83.78648597, OH,Yes,0
NATIONAL GUARD TN-164 DERWING,35.02243856,-89.96374114, TN,Yes,0
NAV STA CORONADO,28.1114,-97.86333, CA,Yes,0
NAVAL AIR FACILITY EL CENTRO,32.77998218,-115.5488124, CA,No,0
NAVAL AIR STATION- BRUNSWICK ME,43.911625,-69.9675, ME,Yes,0
NAVAL AIR STATION CORPUS CHRISTI,27.674534,-97.278074, TX,Yes,0
NAVAL AIR STATION JOINT RESERVE BASE,32.66995677,-97.41822142, TX,Yes,0
NAVAL AIR STATION JOINT RESERVE BASE,32.75095,-97.33086, TX,Yes,0
NAVAL AIR STATION JOINT RESERVE BASE,32.7774726,-97.4245268, TX,Yes,0
NAVAL AIR STATION KINGSVILLE,27.4953207,-97.81869114, TX,Yes,0
NAVAL AIR STATION OCEANA,36.814455,-76.022334, VA,Yes,0
NAVAL AIR STATION- US NAVY,30.350115,-87.303177, FL,Yes,0
NAVAL AIR SYSTEMS COMMAND.,38.29021418,-76.40550167, MD,No,0
NAVAL AIRSTA FORT WORTH,32.77281784,-97.42078339, TX,Yes,0
NAVAL AIRSTA JACKSONVILLE,30.23136398,-81.69913985, FL,Yes,0
NAVAL BASE NEWPORT NEWS,37.08358,-76.48065, VA,Yes,0
NAVAL BASE POLICE & FIRE DEPT,36.84686,-76.28514, VA,Yes,0
NAVAL BASE VENTURA COUNTY,34.15016,-119.19558, CA,Yes,0
NAVAL STATION,30.37717,-81.41025, FL,Yes,0
NAVAL STATION NORFOLK,36.95634301,-76.32684931, VA,Yes,0
NAVAL STATION OCEANA,36.80668486,-76.01844831, VA,Yes,0
NAVY,20.75138889,-158.0511111, HI,Yes,0
