Type,Name,PFAS,Lattitude,Longtitude
Drinking Water,Town of Fuquay-Varina,80.00,35.58,-78.80
Drinking Water,Moore County Public Utilities - Pinehurst,3.70,35.26,-79.54
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM,118.00,34.30,-77.99
Drinking Water,BLADEN CO WTR DIST-EAST BLADEN,136.00,34.93,-78.72
Drinking Water,Brunswick Regional Water & Sewer H2GO,13.21,34.26,-78.09
Waterways,Georgia Branch,3616.64,34.82,-78.83
Drinking Water,WRIGHTSVILLE BEACH WATER SYST NC,2459.70,34.21,-77.80
Creek,Willis Creek,1213.49,34.86,-78.85
Drinking Water,Union County  NC,24.00,34.93,-80.54
Drinking Water,TOWN OF PITTSBORO NC,844.80,35.72,-79.18
Creek,Willis Creek,759.93,34.86,-78.83
Drinking Water,Cape Fear Public Utility Authority - Wilmington,634.00,34.24,-77.95
Drinking Water,PENDER COUNTY UTILITIES NC,425.50,34.55,-77.92
Drinking Water,BLADEN BLUFFS WATER SYSTEM NC,423.50,34.59,-78.57
River,BLADEN BLUFFS WATER SYSTEM: CAPE FEAR RIVER,423.48,34.62,-78.55
Waterways,CFPUA-WILMINGTON: LOWER CAPE FEAR WSA - KINGS BLUFF,406.02,34.41,-78.32
Drinking Water,CFPUA-WILMINGTON NC,406.00,34.24,-77.87
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM NC,395.40,33.96,-78.08
Drinking Water,Brunswick County Water System,395.00,34.00,-78.01
Drinking Water,JONES COUNTY WATER SYSTEM,395.00,35.29,-77.49
Well,TOWN OF MAYSVILLE  : Well,334.4,34.90,-77.23
Drinking Water,BURGAW  TOWN OF,316.00,34.58,-77.86
Drinking Water,LAMPLIGHTER SOUTH-DANBY,316.00,35.08,-80.89
Drinking Water,GREENVILLE UTILITIES COMM,316.00,35.66,-77.40
Drinking Water,Corning Inc,315.00,34.30,-77.88
Drinking Water,INTERNATIONAL PAPER COMPANY_0424820,299.12,34.43,-78.35
River,CFPUA-WILMINGTON: CAPE FEAR RIVER KINGS BLUFF,281.42,34.39,-78.29
Drinking Water,ONSLOW WTR AND SEWER AUTHORITY,250.00,34.55,-77.54
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM,237.00,34.31,-77.99
Drinking Water,ROCKINGHAM  CITY OF,237.00,34.94,-79.81
Drinking Water,JAMESTOWN  TOWN OF,237.00,35.96,-79.98
Drinking Water,MULBERRY-FAIRPLAINS WTR ASSOC,237.00,36.20,-81.09
Drinking Water,BESSEMER CITY  CITY OF,222.00,35.32,-81.27
Drinking Water,WINTERVILLE  TOWN OF,222.00,35.53,-77.44
Drinking Water,Harnett County,218.00,35.36,-78.88
Drinking Water,HARNETT REGIONAL WATER NC,217.50,35.41,-78.81
Well,CFPUA/NHC: WELL B - CASTLE HAYNE,207.8,34.30,-77.81
Drinking Water,FAYETTEVILLE PUBLIC WORKS COMM,191.90,35.03,-78.87
Creek,Bradley Creek Boataminium,188,34.21,-77.83
Drinking Water,RALEIGH  CITY OF,188.00,35.60,-78.45
Drinking Water,HARRIS NUCLEAR PLANT WATER SYSTEM,172.50,35.63,-78.95
Waterways,NH-558 NR WILMINGTON  NC CASTLE HAYNE,158.1,34.30,-77.80
Drinking Water,UNION COUNTY WATER SYSTEM,158.00,35.10,-80.60
Drinking Water,MOUNT OLIVE  TOWN OF,158.00,35.17,-78.04
Drinking Water,BRAGG COMMUNITIES/NTA,158.00,35.28,-79.18
Drinking Water,OLD FORT  TOWN OF,158.00,35.62,-82.17
Drinking Water,SPRUCE PINE  TOWN OF,158.00,35.92,-82.06
Drinking Water,BLUE RIDGE WATER ASSOCIATION,158.00,36.33,-81.13
Well,BLADEN CO WTR DIST-WEST BLADEN: WELL #8,154.17,34.63,-78.80
Drinking Water,College View Mobile Home Park,152.00,35.99,-77.94
Drinking Water,Robeson County,150.00,34.63,-79.22
Drinking Water,BLADEN CO WTR DIST-WEST BLADEN NC,144.50,34.54,-78.80
Drinking Water,JOHNSTON COUNTY,134.10,35.47,-78.52
Drinking Water,Willow Woods Arbor,132.00,34.20,-77.86
Drinking Water,City of Greensboro-Mitchell Filter,124.00,36.22,-79.66
Creek,ORANGE WATER & SEWER AUTHORITY: CANE CREEK RESERVOIR,119.02,35.96,-79.22
Drinking Water,Moore County Public Util. - Pinehurst,118.00,35.31,-79.42
Drinking Water,FAYETTEVILLE-PWC,115.49,35.09,-78.86
Lake,CHATHAM COUNTY : JORDAN LAKE,111.9,35.74,-79.03
Drinking Water,TOWN OF CARY NC,110.60,35.79,-78.78
Drinking Water,Bayleaf Master  NC,110.00,35.40,-77.91
Drinking Water,BLADEN CO WTR DIST-EAST BLADEN,107.34,34.78,-78.71
Drinking Water,AURORA WATER SYSTEM NC,104.30,35.76,-79.02
Drinking Water,Aurora Water System,104.00,35.00,-78.10
Creek,CLEAR CREEK AT SR3181 NR MINT HILL  NC,103,35.21,-80.58
Lake,HARRIS NUCLEAR PLANT WATER SYSTEM: HARRIS LAKE,102.7,35.62,-78.92
Lake,HARRIS NUCLEAR PLANT WATER SYSTEM: HARRIS LAKE,101,35.63,-78.94
Drinking Water,CITY OF GREENSBORO  NC,100.80,36.07,-79.79
River,Yadkin River,98.1,36.21,-80.96
Lake,"CARY, TOWN OF : JORDAN LAKE",95.62,35.82,-78.98
Drinking Water,BEAUFORT CO SOUTHSIDE,94.00,35.32,-76.78
Drinking Water,ORANGE WATER & SEWER AUTHORITY NC,91.40,35.91,-79.08
Lake,LINCOLN COUNTY WTP: LAKE NORMAN,90.2,35.53,-80.99
Drinking Water,TOWN OF SMITHFIELD NC,84.90,35.51,-78.34
Drinking Water,CITY OF HIGH POINT  NC,83.70,35.96,-80.01
River,"SMITHFIELD, TOWN OF: NEUSE RIVER",83.22,35.52,-78.35
Drinking Water,COUNTY OFANSON,80.00,35.00,-79.91
Drinking Water,Town of Fuquay-Varina,80.00,35.58,-78.80
Drinking Water,MAXTON  TOWN OF,79.00,34.72,-79.31
Drinking Water,RAEFORD  CITY OF,79.00,35.04,-79.25
River,BROAD RIVER WATER AUTHORITY,79,35.23,-81.75
Drinking Water,TRYON  TOWN OF,79.00,35.25,-82.12
Drinking Water,RANLO  TOWN OF,79.00,35.25,-81.15
Well,LOWELL  CITY OF,79,35.27,-81.10
Drinking Water,DALLAS  TOWN OF,79.00,35.35,-81.19
Drinking Water,TOWN OF STANLEY,79.00,35.35,-81.09
Drinking Water,SEYMOUR JOHNSON AFB,79.00,35.35,-77.97
Drinking Water,DARE CO-CAPE HATTERAS WATER,79.00,35.35,-75.51
Drinking Water,LILLINGTON WATER SYSTEM,79.00,35.38,-78.91
Drinking Water,CANTON  TOWN OF,79.00,35.40,-82.86
Drinking Water,CARTHAGE  TOWN OF,79.00,35.41,-79.43
Drinking Water,SELMA  TOWN OF (COUNTY LINE),79.00,35.58,-78.27
Drinking Water,PINEWOOD ACRES WATER SYSTEM,79.00,35.61,-81.00
Drinking Water,HANDY SANITARY DISTRICT,79.00,35.61,-80.08
Drinking Water,WEAVERVILLE  TOWN OF,79.00,35.71,-82.54
Drinking Water,BRENTWOOD-JAMESTOWN ROAD,79.00,35.74,-81.69
Drinking Water,CENTRAL NASH WATER & SEWER,79.00,35.78,-78.19
Drinking Water,BATON WATER CORPORATION,79.00,35.82,-81.42
Drinking Water,DAVIDSON WATER INC,79.00,36.00,-80.38
Lake,LAKE ROYALE S/D,79,36.07,-78.25
Drinking Water,BLOWING ROCK  TOWN OF,79.00,36.14,-81.70
Drinking Water,PASQUOTANK COUNTY WATER SYSTEM,79.00,36.29,-76.32
Drinking Water,ELKIN  TOWN OF,79.00,36.33,-80.80
Lake,HENDERSON-KERR LAKE REG WTR,79,36.33,-78.40
Drinking Water,OXFORD  CITY OF,79.00,36.37,-78.45
Lake,NORTHAMPTON--LAKE GASTON,79,36.53,-77.83
Lake,THOMASVILLE  CITY OF: TOM-A-LEX LAKE,78,35.88,-80.08
Drinking Water,FAYETTEVILLE-PWC,72.14,35.07,-78.90
Lake,FAYETTEVILLE PUBLIC WORKS COMM: GLENVILLE LAKE,70,35.17,-83.15
Well,CITY OF ROCKY MOUNT : TAR R @ RESERVR,68,35.96,-78.20
Drinking Water,CITY OF BURLINGTON  NC,67.60,36.10,-79.44
Lake,HARRIS NUCLEAR PLANT WATER SYSTEM: HARRIS LAKE AUX RESERV,67,35.63,-78.92
Drinking Water,JOHNSTON CO-WEST NC,66.60,35.44,-78.38
Lake,HIGH POINT  CITY OF  CITY LAKE,66.26,36.00,-79.95
Drinking Water,City of High Point,66.00,35.96,-80.00
Drinking Water,CHATHAM CO-NORTH NC,65.40,35.70,-79.29
Lake,CITY OF GREENSBORO  : LAKE BRANDT,65,36.18,-79.86
River,CITY OF SILER CITY : ROCKY RIVER (LOWER),62.82,35.72,-79.46
Drinking Water,city of ELIZABETH  nc,60.90,36.31,-76.25
Well,TOWN OF SELMA,59.4,35.54,-78.28
River,NEUSE REGIONAL WTR & SWR AUTH: NEUSE RIVER,58.22,35.22,-77.74
Drinking Water,NEUSE REGIONAL WTR & SWR AUTH NC,58.20,35.90,-78.57
Drinking Water,Neuse Regional Water and Sewer Authority,58.00,35.55,-77.30
Lake,PIEDMONT TRIAD REGIONAL: RANDLEMAN LAKE,57.6,35.87,-79.82
Drinking Water,City of Lumberton,57.00,34.62,-79.01
River,NEUSE REGIONAL WTR & SWR AUTH: NEUSE RIVER,57,35.22,-76.60
Waterways,SA-134 NR CLINTON  NC,56.7,34.99,-78.28
Waterways,YD-203 NR BOONVILLE  NC MAFIC GNEISS,56.7,36.23,-80.70
River,LUMBERTON  CITY OF : LUMBER RIVER,56.52,34.60,-79.12
River,CITY OF LUMBERTON : LUMBER RIVER,56.5,34.61,-79.15
River,TOWN OF PITTSBORO :  HAW RIVER,54.32,36.09,-79.37
Drinking Water,CITY OF ASHEBORO  NC,53.40,35.71,-79.81
Drinking Water,City of Burlington,51.00,43.33,-79.80
Drinking Water,Bell Arthur Water Corporation,50.00,35.59,-77.51
Waterways,Oconaluftee Overlook M97S1,50,35.61,-83.44
Drinking Water,CITY OF GOLDSBORO NC,48.20,35.38,-77.99
Drinking Water,CITY OF WILSON  NC,47.80,35.73,-77.91
Creek,CARTHAGE  TOWN OF: NICKS CREEK,45.45,35.25,-79.41
Well,SOUTH GRANVILLE WTR&SEWER AUTHORITY,45.02,36.14,-78.80
Drinking Water,SOUTH GRANVILLE WTR&SEWER AUTHORITY  KNAPP OF REEDS CRK,45.02,36.14,-78.76
Lake,CITY OF   ASHEBORO : LAKE LUCAS,44.81,35.72,-79.86
Drinking Water,CITY OF SANFORD NC,44.60,35.48,-79.18
River,SANFORD  CITY OF  CAPE FEAR RIVER,44.6,35.55,-79.02
Waterways,CB-156 NR HARRISBURG  NC FELSIC INTRUSIVE IGNEOUS,43.7,35.32,-80.60
Waterways,CR-543 COVE CITY RS R23x2 CASTLE HAYNE,43,35.17,-77.31
River,"PILGRIM""S PRIDE WATER SYSTEM: DEEP RIVER",42.22,35.50,-79.20
Drinking Water,Cliffdale West,41.00,35.06,-79.07
Drinking Water,Grand Strand Water and Sewer Authority,40.00,33.78,-79.02
Lake,CITY OF GREENSBORO : LAKE TOWNSEND,40,36.18,-79.76
Drinking Water,City of Conway,37.00,33.84,-79.05
Drinking Water,Jamestown,37.00,37.21,-76.78
Well,WADE  TOWN OF  WELL #3,36,35.16,-78.73
Drinking Water,Selma,36.00,35.55,-78.31
Drinking Water,TOWN OF WADE NC,34.00,35.16,-78.74
Drinking Water,RALEIGH  CITY OF  : FALLS OF THE NEUSE,34.00,35.95,-78.58
Drinking Water,TOWN OF PINE LEVEL NC,32.30,35.51,-78.24
Drinking Water,CITY OF BESSEMER CITY  NC,31.50,35.28,-81.28
Drinking Water,CITY OF CONCORD  NC,30.20,35.41,-80.58
Waterways,BR-279 SPMT 44-A SOUTHPORT  NC CASTLE HAYNE,30,34.01,-77.99
Waterways,PE-123 NR TOPSAIL  NC CASTLE HAYNE,30,34.38,-77.72
Waterways,PE-097 MAS 10 NR HOLLY SHELTER NR WALKERS  NC,30,34.55,-77.81
Waterways,ON-308 MAS 14 NR DIXON  NC,30,34.57,-77.49
Waterways,BL-121 IN ELIZABETHTOWN  NC,30,34.62,-78.60
Waterways,BL-094,30,34.65,-78.72
Lake,BL-227 NR WHITE LAKE,30,34.65,-78.53
Waterways,CT-203 BOGUE BANKS 2,30,34.67,-77.03
Waterways,ON-309 MAS-25 AT HUBERT  NC,30,34.71,-77.23
Waterways,CT-153 NC-139 CAMP GLENN RS X17j5 CASTLE HAYNE,30,34.72,-76.75
Waterways,ON-418 CITY OF JACKSONVILLE BP2,30,34.79,-77.43
Waterways,BL-263 NR TARHEEL  NC,30,34.83,-78.83
Waterways,DU-134 NC-224 ROSE HILL RS V32v3 CASTLE HAYNE,30,34.85,-78.02
Waterways,CR-685 CITY OF HAVELOCK-5,30,34.86,-76.89
Waterways,UN-149 NR WAXHAW  NC FELSIC METAVOLCANIC,30,34.87,-80.75
Waterways,JO-075 LU-S20B NEAR MAYSVILLE  NC SURFICIAL,30,34.94,-77.28
Waterways,CT-206 NR MERRIMON  NC CASTLE HAYNE,30,34.94,-76.64
Waterways,SA-144 IN ROSEBORO  NC,30,34.96,-78.50
Waterways,SA-142 IN TURKEY  NC,30,34.99,-78.18
Waterways,JO-076 MAS 21 AT POLLOCKSVILLE  NC,30,35.00,-77.22
River,CR-715 TOWN OF RIVER BEND-1,30,35.07,-77.15
Waterways,PA-176 PAMLICO COUNTY GRANTSBORO 1,30,35.09,-76.84
Waterways,CR-708 FIRST CRAVEN SANITARY DISTRICT-1,30,35.12,-77.01
Waterways,TR-067 NR ROSMAN  NC FELSIC GNEISS,30,35.15,-82.83
Waterways,ST-253 NR OAKBORO  NC ARGILLITE,30,35.24,-80.33
Waterways,PO-025 NR COLUMBUS  NC FELSIC GNEISS,30,35.26,-82.21
Waterways,BO-443 BEAUFORT CO. DISTRICTS VI AND VII-1,30,35.29,-76.86
Creek,WA-167 WALNUT CREEK 3,30,35.30,-77.87
Waterways,LN-216 NORTH LENOIR 11,30,35.30,-77.73
Waterways,GM-023 NR SANTEETLAH  NC QUARTZITE,30,35.37,-83.85
Waterways,PI-705 NR GRIFTON  NC CASTLE HAYNE,30,35.37,-77.39
Waterways,ST-252 NR ALBEMARLE  NC METAVOLCANIC,30,35.38,-80.07
Waterways,LN-222 NORTH LENOIR 17,30,35.38,-77.50
Waterways,BO-438 LU-14A NR CHOCOWINITY  NC SURFICIAL,30,35.43,-77.02
Waterways,GR-165 LU-S15A NEAR HOOKERTON  NC,30,35.45,-77.51
Waterways,WA-320 LU-13A NEAR PIKEVILLE,30,35.48,-78.00
Waterways,BO-448 BEAUFORT CO. DISTRICTS VI AND VII-64,30,35.48,-77.07
Waterways,BO-384 BATH RS O17I2 NEAR BATH  NC,30,35.48,-76.78
Waterways,HY-173 LU-S9C NEAR FAIRFIELD  NC,30,35.54,-76.18
Waterways,PI-652 BELL ARTHUR CORPORATION 5,30,35.55,-77.48
Waterways,SW-048 NR CHEROKEE  NC QUARTZITE,30,35.57,-83.34
Waterways,WL-419 TOWN OF STANTONSBURG 2,30,35.60,-77.81
Waterways,BO-418 LU-10A NEAR PANTEGO  NC,30,35.60,-76.79
Waterways,BU-112 NR BLACK MOUNTAIN  NC QUARTZITE,30,35.61,-82.29
Waterways,HY-192 NR SWANQUARTER  NC CASTLE HAYNE,30,35.63,-76.56
Waterways,CH-251 NR PITTSBORO  NC FELSIC METAVOLCANIC,30,35.69,-79.16
Waterways,PI-653 BELL ARTHUR 6,30,35.71,-77.52
Waterways,BK-128 NR NEBO  NC MAFIC GNEISS,30,35.76,-81.91
Waterways,ED-193 NEAR PINETOPS  NC,30,35.76,-77.64
Waterways,RA-175 NR SOPHIA  NC ARGILLITE,30,35.77,-79.89
Waterways,MR-462 NR JAMESVILLE  NC CASTLE HAYNE,30,35.81,-76.90
Waterways,MR-463 NR JAMESVILLE  NC CASTLE HAYNE,30,35.83,-76.81
Waterways,WS-143 NR PLYMOUTH  NC CASTLE HAYNE,30,35.85,-76.74
Waterways,IR-190 NR STATESVILLE  NC MAFIC GNEISS,30,35.87,-80.92
Waterways,WS-140 WASHINGTON COUNTY 1,30,35.87,-76.62
Drinking Water,orange water and sewer authority,30.00,35.90,-79.10
Waterways,AM-222 NR OSSIPEE  NC FELSIC METAIGNEOUS,30,36.17,-79.51
Waterways,GV-155 NR STEM  NC FELSIC METAIGNEOUS,30,36.18,-78.80
Waterways,BE-115 NR WINDSOR  NC UPPER CAPE FEAR,30,36.21,-76.86
Waterways,HF-101 NR WINTON  NC UPPER CAPE FEAR,30,36.38,-77.03
Waterways,CS-148 NR YANCEYVILLE  NC MAFIC GNEISS,30,36.39,-79.45
Waterways,CA-087A LU-03A NR SOUTH MILLS  NC SURFICIAL,30,36.42,-76.28
Waterways,GA-067 SUNBURY RS  C15S7  AT PLYMOUTH  NC,30,36.45,-76.60
Waterways,WR-155 NR LITTLETON  NC SCHIST,30,36.49,-77.94
Drinking Water,CITY OF STATESVILLE  NC,29.50,35.78,-80.89
Well,THE VILLAGE OF BALD HEAD ISLAND: ROYAL JAMES WELL,28.81,33.86,-77.99
Drinking Water,Treasure Cove S/d,28.00,34.27,-77.79
Lake,RALEIGH  CITY OF  : LAKE BENSON,27.42,35.66,-78.61
Lake,LAKE CONCORD/COLDWATER CR,27.01,35.48,-80.59
Drinking Water,THE VILLAGE OF BALD HEAD ISLAND NC,26.80,33.87,-78.00
River,ANSON COUNTY WATER SYSTEM: PEE DEE RIVER,26.15,35.22,-80.04
Drinking Water,"DURHAM, CITY OF-DURHAM, CITY OF",26.10,35.84,-78.83
Well,"WILSON, CITY OF: LAWNDALE DR @TOISNOT RESEVOIR",26,35.70,-77.95
Drinking Water,Liberty,26.00,37.35,-79.18
Well,liberty  NC : Well,25.62,35.86,-79.58
River,GREENVILLE UTILITIES COMM: TAR RIVER,25.6,35.63,-77.40
Drinking Water,TOWN OF LIBERTY NC,25.60,35.85,-79.57
Lake,HIGH POINT  CITY OF  OAK HOLLOW LAKE,25.12,36.02,-79.99
Drinking Water,Moore County Public Utilities - Pinehurst-EMWD Intertie,25.00,35.26,-79.54
Well,TOWN OF LIBERTY,25,35.94,-79.48
Drinking Water,ROANOKE RAPIDS SANITARY DIST,24.60,36.46,-77.65
Drinking Water,CITY OF RALEIGH NC,24.10,35.78,-78.64
Drinking Water,TOWN OF NEWTON GROVE NC,24.00,35.25,-78.35
Drinking Water,CITY OF MONROE NC,23.80,34.99,-80.55
Drinking Water,GREENVILLE UTILITIES COMM,23.20,35.61,-77.43
Drinking Water,Greenville,23.00,34.85,-82.39
Drinking Water,TOWN OF TARBORO NC,22.50,35.90,-77.54
Well,"WILSON, CITY OF: WIGGINS MILL POND",21.81,35.70,-77.96
Well,MICRO  TOWN OF  : WELL #3,21.4,35.57,-78.19
Drinking Water,TOWN OF SIMS NC,21.40,35.76,-78.06
River,CITY OFLINCOLNTON : S FORK CATAWBA RIVER,21.3,35.15,-81.04
Drinking Water,CITY OF LINCOLNTON NC,21.30,35.47,-81.25
Waterways,CARTHAGE  TOWN OF: TOWN POND,20.6,35.33,-79.41
Drinking Water,TOWN OF CARTHAGE NC,20.60,35.35,-79.42
Drinking Water,Town of Holly Springs  NC,20.00,35.65,-78.83
Lake,NEWTON  CITY OF  CITY LAKE,19.51,35.66,-81.25
Creek,FRANKLINTON  TOWN OF: TAYLOR CREEK,19.16,36.11,-78.47
Drinking Water,TOWN OF DENTON NC,19.10,35.63,-80.12
River,WELDON WATER SYSTEM: ROANOKE RIVER,19.07,36.50,-77.74
Drinking Water,TOWN OF WADESBORO  NC,19.00,34.97,-80.08
Drinking Water,ANSON COUNTY WATER SYSTEM NC,18.80,34.91,-80.19
Drinking Water,CITY OF GRAHAM NC,18.50,36.07,-79.40
Drinking Water,DAVIDSON WATER INC NC,18.00,35.92,-80.25
Drinking Water,ROBESON COUNTY WATER SYSTEM,17.87,35.06,-78.87
Drinking Water,ROXBORO STEAM PLANT NC,17.80,36.48,-79.07
Drinking Water,RICHMOND COUNTY WATER SYSTEM NC,17.40,35.00,-79.78
Drinking Water,Weldon,17.00,36.43,-77.61
Drinking Water,WELDON WATER SYSTEM NC,17.00,36.43,-77.60
Drinking Water,TOWN OF MICRO NC,16.90,35.56,-78.20
Drinking Water,CITY OF NEWTON  NC ,16.80,35.67,-81.22
Drinking Water,CITY OF DURHAM  NC,16.80,35.99,-78.90
Lake,"WINSTON-SALEM, CITY OF SALEM LAKE",16.21,36.10,-80.18
Drinking Water,DAVIE COUNTY WATER SYSTEM,15.70,35.94,-80.59
Drinking Water,ROBESON COUNTY WATER SYSTEM NC,15.50,34.64,-79.11
